start,device,context,block,name,stream,shared memory,grid,end,cat,correlation,dur
1732610751831126.0,0,1,"256,1,1",_ZN14cask__5x_cudnn20computeOffsetsKernelILb0ELb0EEEvNS_20ComputeOffsetsParamsE,7,0,"197,1,1",1732610751831129.0,conc_kernel,1335,3.104
1732610751873046.8,0,1,"128,1,1",_5x_cudnn_ampere_scudnn_128x64_relu_medium_nn_v1,7,16384,"392,1,1",1732610751873085.2,conc_kernel,1338,38.4
1732610751889055.0,0,1,"128,1,1",_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,7,0,"12544,1,1",1732610751889099.8,conc_kernel,1344,44.928
1732610751889380.8,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_21CUDAFunctorOnSelf_addIlEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"1,1,1",1732610751889383.2,conc_kernel,1349,2.688
1732610751909927.0,0,1,"512,1,1",_ZN5cudnn25bn_fw_tr_1C11_kernel_NCHWIffiLi512ELb1ELi1ELb1EEEv17cudnnTensorStructPKT_S1_PS2_PKT0_S8_S6_S6_PS6_S9_S9_S9_S6_S6_,7,144,"64,1,1",1732610751909991.2,conc_kernel,1986,64.257
1732610751924992.2,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_49_GLOBAL__N__d2ba64fb_16_TensorCompare_cu_71e06f4e19launch_clamp_scalarERNS_18TensorIteratorBaseEN3c106ScalarES6_NS0_6detail11ClampLimitsEENKUlvE_clEvENKUlvE5_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"6272,1,1",1732610751925039.0,conc_kernel,2006,46.496
1732610751927883.8,0,1,"32,4,1",_ZN5cudnn8winograd27generateWinogradTilesKernelILi0EffEEvNS0_27GenerateWinogradTilesParamsIT0_T1_EE,7,8704,"2,16,1",1732610751927887.5,conc_kernel,2096,3.68
1732610751927931.5,0,1,"256,1,1",_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,7,49152,"2,28,14",1732610751928072.2,conc_kernel,2098,140.736
1732610751928073.0,0,1,"128,1,1",_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,7,0,"12544,1,1",1732610751928119.0,conc_kernel,2104,46.112
1732610751928124.5,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_21CUDAFunctorOnSelf_addIlEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"1,1,1",1732610751928127.2,conc_kernel,2109,2.752
