CUPTI_START_TIMESTAMP = 1732610751720645232
RUNTIME cbid=17 [ 1560904 - 1578481 ] process 1943033, thread 1641977664, correlation 1
RUNTIME cbid=17 [ 1585906 - 1586773 ] process 1943033, thread 1641977664, correlation 2
RUNTIME cbid=17 [ 1594300 - 1594816 ] process 1943033, thread 1641977664, correlation 3
RUNTIME cbid=17 [ 1612364 - 1612898 ] process 1943033, thread 1641977664, correlation 4
RUNTIME cbid=17 [ 1614630 - 1615035 ] process 1943033, thread 1641977664, correlation 5
RUNTIME cbid=17 [ 1641480 - 1641928 ] process 1943033, thread 1641977664, correlation 6
RUNTIME cbid=17 [ 1646508 - 1646943 ] process 1943033, thread 1641977664, correlation 7
MEMCPY HtoD[ 1731689 - 1775273 ] device 0, context 1, stream 7, size 602112, correlation 8
RUNTIME cbid=41 [ 1649498 - 1732900 ] process 1943033, thread 1641977664, correlation 8
RUNTIME cbid=131 [ 1735845 - 1779993 ] process 1943033, thread 1641977664, correlation 9
RUNTIME cbid=17 [ 1782434 - 1782897 ] process 1943033, thread 1641977664, correlation 10
RUNTIME cbid=17 [ 1832294 - 1832841 ] process 1943033, thread 1641977664, correlation 11
RUNTIME cbid=17 [ 1835984 - 1836449 ] process 1943033, thread 1641977664, correlation 12
RUNTIME cbid=17 [ 1836871 - 1837263 ] process 1943033, thread 1641977664, correlation 13
RUNTIME cbid=17 [ 1838028 - 1838405 ] process 1943033, thread 1641977664, correlation 14
RUNTIME cbid=17 [ 1841201 - 1841641 ] process 1943033, thread 1641977664, correlation 15
RUNTIME cbid=17 [ 1841944 - 1842339 ] process 1943033, thread 1641977664, correlation 16
RUNTIME cbid=17 [ 1845994 - 1846481 ] process 1943033, thread 1641977664, correlation 17
RUNTIME cbid=17 [ 1846908 - 1847346 ] process 1943033, thread 1641977664, correlation 18
MEMCPY HtoD[ 1897961 - 1940297 ] device 0, context 1, stream 7, size 602112, correlation 19
RUNTIME cbid=41 [ 1847659 - 1897389 ] process 1943033, thread 1641977664, correlation 19
RUNTIME cbid=131 [ 1897822 - 1944045 ] process 1943033, thread 1641977664, correlation 20
RUNTIME cbid=17 [ 1944366 - 1944852 ] process 1943033, thread 1641977664, correlation 21
RUNTIME cbid=17 [ 2342596 - 2343975 ] process 1943033, thread 1641977664, correlation 22
RUNTIME cbid=17 [ 2360982 - 2361435 ] process 1943033, thread 1641977664, correlation 23
RUNTIME cbid=17 [ 2375551 - 2376016 ] process 1943033, thread 1641977664, correlation 24
RUNTIME cbid=10 [ 2390044 - 2391360 ] process 1943033, thread 1641977664, correlation 25
RUNTIME cbid=17 [ 2391922 - 2392384 ] process 1943033, thread 1641977664, correlation 26
RUNTIME cbid=317 [ 2393048 - 2396273 ] process 1943033, thread 1641977664, correlation 27
RUNTIME cbid=20 [ 2397012 - 2579103 ] process 1943033, thread 1641977664, correlation 28
RUNTIME cbid=17 [ 2585759 - 2586503 ] process 1943033, thread 1641977664, correlation 29
RUNTIME cbid=17 [ 2631321 - 2631863 ] process 1943033, thread 1641977664, correlation 30
DRIVER cbid=626 [ 3479371 - 3481460 ] process 1943033, thread 1641977664, correlation 31
DRIVER cbid=626 [ 3481856 - 3482873 ] process 1943033, thread 1641977664, correlation 32
DRIVER cbid=626 [ 3483107 - 3483393 ] process 1943033, thread 1641977664, correlation 33
DRIVER cbid=626 [ 3483550 - 3484270 ] process 1943033, thread 1641977664, correlation 34
DRIVER cbid=626 [ 3484421 - 3485556 ] process 1943033, thread 1641977664, correlation 35
DRIVER cbid=626 [ 3485705 - 3486371 ] process 1943033, thread 1641977664, correlation 36
DRIVER cbid=626 [ 3486521 - 3487057 ] process 1943033, thread 1641977664, correlation 37
DRIVER cbid=626 [ 3487208 - 3487916 ] process 1943033, thread 1641977664, correlation 38
DRIVER cbid=626 [ 3488070 - 3488807 ] process 1943033, thread 1641977664, correlation 39
DRIVER cbid=626 [ 3488962 - 3489708 ] process 1943033, thread 1641977664, correlation 40
DRIVER cbid=626 [ 3489864 - 3490629 ] process 1943033, thread 1641977664, correlation 41
DRIVER cbid=626 [ 3490834 - 3491693 ] process 1943033, thread 1641977664, correlation 42
DRIVER cbid=626 [ 3491846 - 3492611 ] process 1943033, thread 1641977664, correlation 43
DRIVER cbid=626 [ 3492752 - 3493753 ] process 1943033, thread 1641977664, correlation 44
DRIVER cbid=626 [ 3493904 - 3494531 ] process 1943033, thread 1641977664, correlation 45
DRIVER cbid=626 [ 3494679 - 3495243 ] process 1943033, thread 1641977664, correlation 46
DRIVER cbid=626 [ 3495393 - 3496123 ] process 1943033, thread 1641977664, correlation 47
DRIVER cbid=626 [ 3496270 - 3496907 ] process 1943033, thread 1641977664, correlation 48
DRIVER cbid=626 [ 3497059 - 3497950 ] process 1943033, thread 1641977664, correlation 49
DRIVER cbid=626 [ 3498098 - 3498682 ] process 1943033, thread 1641977664, correlation 50
DRIVER cbid=626 [ 3498827 - 3499493 ] process 1943033, thread 1641977664, correlation 51
DRIVER cbid=626 [ 3499647 - 3500073 ] process 1943033, thread 1641977664, correlation 52
DRIVER cbid=626 [ 3500229 - 3500784 ] process 1943033, thread 1641977664, correlation 53
DRIVER cbid=626 [ 3500930 - 3501197 ] process 1943033, thread 1641977664, correlation 54
DRIVER cbid=626 [ 3501357 - 3502241 ] process 1943033, thread 1641977664, correlation 55
DRIVER cbid=626 [ 3502388 - 3503260 ] process 1943033, thread 1641977664, correlation 56
DRIVER cbid=626 [ 3503408 - 3504153 ] process 1943033, thread 1641977664, correlation 57
DRIVER cbid=626 [ 3504306 - 3504797 ] process 1943033, thread 1641977664, correlation 58
DRIVER cbid=626 [ 3504947 - 3505336 ] process 1943033, thread 1641977664, correlation 59
DRIVER cbid=626 [ 3505485 - 3506034 ] process 1943033, thread 1641977664, correlation 60
DRIVER cbid=626 [ 3506185 - 3506759 ] process 1943033, thread 1641977664, correlation 61
DRIVER cbid=626 [ 3506915 - 3507472 ] process 1943033, thread 1641977664, correlation 62
DRIVER cbid=626 [ 3507647 - 3508033 ] process 1943033, thread 1641977664, correlation 63
DRIVER cbid=626 [ 3508182 - 3508943 ] process 1943033, thread 1641977664, correlation 64
DRIVER cbid=626 [ 3509091 - 3509628 ] process 1943033, thread 1641977664, correlation 65
DRIVER cbid=626 [ 3509778 - 3510196 ] process 1943033, thread 1641977664, correlation 66
DRIVER cbid=626 [ 3510347 - 3511069 ] process 1943033, thread 1641977664, correlation 67
DRIVER cbid=626 [ 3511269 - 3511866 ] process 1943033, thread 1641977664, correlation 68
DRIVER cbid=626 [ 3512017 - 3512472 ] process 1943033, thread 1641977664, correlation 69
DRIVER cbid=626 [ 3512620 - 3512981 ] process 1943033, thread 1641977664, correlation 70
DRIVER cbid=626 [ 3513119 - 3513644 ] process 1943033, thread 1641977664, correlation 71
DRIVER cbid=626 [ 3513795 - 3514232 ] process 1943033, thread 1641977664, correlation 72
DRIVER cbid=626 [ 3514367 - 3514630 ] process 1943033, thread 1641977664, correlation 73
DRIVER cbid=626 [ 3514782 - 3515244 ] process 1943033, thread 1641977664, correlation 74
DRIVER cbid=626 [ 3515399 - 3515976 ] process 1943033, thread 1641977664, correlation 75
DRIVER cbid=626 [ 3516127 - 3516791 ] process 1943033, thread 1641977664, correlation 76
DRIVER cbid=626 [ 3516992 - 3517261 ] process 1943033, thread 1641977664, correlation 77
DRIVER cbid=626 [ 3517412 - 3517846 ] process 1943033, thread 1641977664, correlation 78
DRIVER cbid=626 [ 3517998 - 3518314 ] process 1943033, thread 1641977664, correlation 79
DRIVER cbid=626 [ 3518471 - 3518759 ] process 1943033, thread 1641977664, correlation 80
DRIVER cbid=626 [ 3518911 - 3519337 ] process 1943033, thread 1641977664, correlation 81
DRIVER cbid=626 [ 3519549 - 3520144 ] process 1943033, thread 1641977664, correlation 82
DRIVER cbid=626 [ 3520292 - 3520539 ] process 1943033, thread 1641977664, correlation 83
DRIVER cbid=626 [ 3520689 - 3521106 ] process 1943033, thread 1641977664, correlation 84
DRIVER cbid=626 [ 3521255 - 3521497 ] process 1943033, thread 1641977664, correlation 85
DRIVER cbid=626 [ 3521647 - 3522042 ] process 1943033, thread 1641977664, correlation 86
DRIVER cbid=626 [ 3522190 - 3522820 ] process 1943033, thread 1641977664, correlation 87
DRIVER cbid=626 [ 3522969 - 3523339 ] process 1943033, thread 1641977664, correlation 88
DRIVER cbid=626 [ 3523489 - 3524079 ] process 1943033, thread 1641977664, correlation 89
DRIVER cbid=626 [ 3524289 - 3524677 ] process 1943033, thread 1641977664, correlation 90
DRIVER cbid=626 [ 3524818 - 3525223 ] process 1943033, thread 1641977664, correlation 91
DRIVER cbid=626 [ 3525372 - 3525616 ] process 1943033, thread 1641977664, correlation 92
DRIVER cbid=626 [ 3525759 - 3526134 ] process 1943033, thread 1641977664, correlation 93
DRIVER cbid=626 [ 3526286 - 3526872 ] process 1943033, thread 1641977664, correlation 94
DRIVER cbid=626 [ 3527027 - 3527448 ] process 1943033, thread 1641977664, correlation 95
