start,pid,tid,name,cbid,end,cat,correlation,dur
1732610751724124.8,1943033,1641977664,cuGetProcAddress,626,1732610751724126.8,cuda_driver,31,2.089
1732610751724127.0,1943033,1641977664,cuGetProcAddress,626,1732610751724128.0,cuda_driver,32,1.017
1732610751724128.2,1943033,1641977664,cuGetProcAddress,626,1732610751724128.5,cuda_driver,33,0.286
1732610751724128.8,1943033,1641977664,cuGetProcAddress,626,1732610751724129.5,cuda_driver,34,0.72
1732610751724129.5,1943033,1641977664,cuGetProcAddress,626,1732610751724130.8,cuda_driver,35,1.135
1732610751724130.8,1943033,1641977664,cuGetProcAddress,626,1732610751724131.5,cuda_driver,36,0.666
1732610751724132.0,1943033,1641977664,cuGetProcAddress,626,1732610751724132.5,cuda_driver,37,0.536
1732610751724132.5,1943033,1641977664,cuGetProcAddress,626,1732610751724133.2,cuda_driver,38,0.708
1732610751724133.5,1943033,1641977664,cuGetProcAddress,626,1732610751724134.2,cuda_driver,39,0.737
1732610751724134.2,1943033,1641977664,cuGetProcAddress,626,1732610751724135.0,cuda_driver,40,0.746
1732610751724135.2,1943033,1641977664,cuGetProcAddress,626,1732610751724136.0,cuda_driver,41,0.765
1732610751724136.2,1943033,1641977664,cuGetProcAddress,626,1732610751724137.0,cuda_driver,42,0.859
1732610751724137.0,1943033,1641977664,cuGetProcAddress,626,1732610751724137.8,cuda_driver,43,0.765
1732610751724138.0,1943033,1641977664,cuGetProcAddress,626,1732610751724139.0,cuda_driver,44,1.001
1732610751724139.0,1943033,1641977664,cuGetProcAddress,626,1732610751724139.8,cuda_driver,45,0.627
1732610751724140.0,1943033,1641977664,cuGetProcAddress,626,1732610751724140.5,cuda_driver,46,0.564
1732610751724140.5,1943033,1641977664,cuGetProcAddress,626,1732610751724141.2,cuda_driver,47,0.73
1732610751724141.5,1943033,1641977664,cuGetProcAddress,626,1732610751724142.0,cuda_driver,48,0.637
1732610751724142.2,1943033,1641977664,cuGetProcAddress,626,1732610751724143.2,cuda_driver,49,0.891
1732610751724143.5,1943033,1641977664,cuGetProcAddress,626,1732610751724144.0,cuda_driver,50,0.584
1732610751724144.2,1943033,1641977664,cuGetProcAddress,626,1732610751724144.8,cuda_driver,51,0.666
1732610751724145.0,1943033,1641977664,cuGetProcAddress,626,1732610751724145.5,cuda_driver,52,0.426
1732610751724145.5,1943033,1641977664,cuGetProcAddress,626,1732610751724146.0,cuda_driver,53,0.555
1732610751724146.2,1943033,1641977664,cuGetProcAddress,626,1732610751724146.5,cuda_driver,54,0.267
1732610751724146.8,1943033,1641977664,cuGetProcAddress,626,1732610751724147.5,cuda_driver,55,0.884
