start,pid,tid,name,cbid,end,cat,correlation,dur
1732610751722206.2,1943033,1641977664,cudaGetDevice,17,1732610751722223.8,cuda_runtime,1,17.577
1732610751722231.0,1943033,1641977664,cudaGetDevice,17,1732610751722232.0,cuda_runtime,2,0.867
1732610751722239.5,1943033,1641977664,cudaGetDevice,17,1732610751722240.0,cuda_runtime,3,0.516
1732610751722257.8,1943033,1641977664,cudaGetDevice,17,1732610751722258.2,cuda_runtime,4,0.534
1732610751722260.0,1943033,1641977664,cudaGetDevice,17,1732610751722260.2,cuda_runtime,5,0.405
1732610751722286.8,1943033,1641977664,cudaGetDevice,17,1732610751722287.2,cuda_runtime,6,0.448
1732610751722291.8,1943033,1641977664,cudaGetDevice,17,1732610751722292.2,cuda_runtime,7,0.435
1732610751722294.8,1943033,1641977664,cudaMemcpyAsync,41,1732610751722378.2,cuda_runtime,8,83.402
1732610751722381.0,1943033,1641977664,cudaStreamSynchronize,131,1732610751722425.5,cuda_runtime,9,44.148
1732610751722427.8,1943033,1641977664,cudaGetDevice,17,1732610751722428.2,cuda_runtime,10,0.463
1732610751722477.5,1943033,1641977664,cudaGetDevice,17,1732610751722478.0,cuda_runtime,11,0.547
1732610751722481.2,1943033,1641977664,cudaGetDevice,17,1732610751722481.8,cuda_runtime,12,0.465
1732610751722482.2,1943033,1641977664,cudaGetDevice,17,1732610751722482.5,cuda_runtime,13,0.392
1732610751722483.2,1943033,1641977664,cudaGetDevice,17,1732610751722483.8,cuda_runtime,14,0.377
1732610751722486.5,1943033,1641977664,cudaGetDevice,17,1732610751722486.8,cuda_runtime,15,0.44
1732610751722487.2,1943033,1641977664,cudaGetDevice,17,1732610751722487.5,cuda_runtime,16,0.395
1732610751722491.2,1943033,1641977664,cudaGetDevice,17,1732610751722491.8,cuda_runtime,17,0.487
1732610751722492.2,1943033,1641977664,cudaGetDevice,17,1732610751722492.8,cuda_runtime,18,0.438
1732610751722493.0,1943033,1641977664,cudaMemcpyAsync,41,1732610751722542.8,cuda_runtime,19,49.73
1732610751722543.2,1943033,1641977664,cudaStreamSynchronize,131,1732610751722589.2,cuda_runtime,20,46.223
1732610751722589.8,1943033,1641977664,cudaGetDevice,17,1732610751722590.2,cuda_runtime,21,0.486
1732610751722987.8,1943033,1641977664,cudaGetDevice,17,1732610751722989.2,cuda_runtime,22,1.379
1732610751723006.2,1943033,1641977664,cudaGetDevice,17,1732610751723006.8,cuda_runtime,23,0.453
1732610751723020.8,1943033,1641977664,cudaGetDevice,17,1732610751723021.2,cuda_runtime,24,0.465
1732610751723035.5,1943033,1641977664,cudaGetLastError,10,1732610751723036.8,cuda_runtime,25,1.316
1732610751723037.2,1943033,1641977664,cudaGetDevice,17,1732610751723037.8,cuda_runtime,26,0.462
1732610751723038.2,1943033,1641977664,cudaStreamIsCapturing,317,1732610751723041.5,cuda_runtime,27,3.225
1732610751723042.2,1943033,1641977664,cudaMalloc,20,1732610751723224.2,cuda_runtime,28,182.091
1732610751723231.0,1943033,1641977664,cudaGetDevice,17,1732610751723231.8,cuda_runtime,29,0.744
1732610751723276.5,1943033,1641977664,cudaGetDevice,17,1732610751723277.0,cuda_runtime,30,0.542
1732610751729822.8,1943033,1641977664,cudaGetDeviceCount,3,1732610751729827.5,cuda_runtime,623,4.773
1732610751729828.5,1943033,1641977664,cudaGetDevice,17,1732610751729830.0,cuda_runtime,624,1.386
1732610751729833.5,1943033,1641977664,cudaDriverGetVersion,1,1732610751729833.8,cuda_runtime,625,0.289
1732610751729834.0,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751729834.8,cuda_runtime,626,0.683
1732610751729835.0,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751729835.2,cuda_runtime,627,0.405
1732610751729835.5,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751729835.8,cuda_runtime,628,0.382
1732610751729836.0,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751729836.2,cuda_runtime,629,0.392
1732610751729836.5,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751729836.8,cuda_runtime,630,0.357
1732610751729837.0,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751729837.2,cuda_runtime,631,0.376
1732610751729837.5,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751729837.8,cuda_runtime,632,0.377
1732610751729838.0,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751729838.2,cuda_runtime,633,0.378
1732610751729838.8,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751730657.5,cuda_runtime,634,819.107
1732610751730657.8,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751731251.5,cuda_runtime,635,593.45
1732610751731251.8,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751731252.0,cuda_runtime,636,0.458
1732610751731252.2,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751731252.8,cuda_runtime,637,0.413
1732610751731252.8,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751731253.2,cuda_runtime,638,0.38
1732610751731253.2,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751731253.8,cuda_runtime,639,0.41
1732610751731253.8,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751731254.2,cuda_runtime,640,0.392
1732610751731254.2,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751731254.8,cuda_runtime,641,0.397
1732610751731254.8,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751731255.2,cuda_runtime,642,0.362
1732610751731255.2,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751731255.8,cuda_runtime,643,0.365
1732610751731255.8,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751731256.2,cuda_runtime,644,0.376
1732610751731256.2,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751731256.5,cuda_runtime,645,0.372
1732610751731256.8,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751731257.5,cuda_runtime,646,0.439
1732610751731257.8,1943033,1641977664,cudaGetDeviceProperties,4,1732610751732568.0,cuda_runtime,647,1310.477
1732610751732568.0,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751732568.5,cuda_runtime,648,0.447
1732610751732568.8,1943033,1641977664,cudaDeviceGetAttribute,200,1732610751732569.0,cuda_runtime,649,0.394
1732610751732570.2,1943033,1641977664,cudaStreamCreateWithFlags,198,1732610751732594.8,cuda_runtime,650,24.609
1732610751732595.0,1943033,1641977664,cudaStreamCreateWithFlags,198,1732610751732597.2,cuda_runtime,651,2.401
1732610751732597.2,1943033,1641977664,cudaStreamCreateWithFlags,198,1732610751732599.8,cuda_runtime,652,2.341
1732610751732599.8,1943033,1641977664,cudaStreamCreateWithFlags,198,1732610751732602.2,cuda_runtime,653,2.308
1732610751732602.5,1943033,1641977664,cudaStreamCreateWithFlags,198,1732610751732605.0,cuda_runtime,654,2.657
