start,device,context,name,stream,end,bytes,cat,correlation,dur
1732610751722377.0,0,1,Memcpy HtoD,7,1732610751722420.5,602112,gpu_memcpy,8,43.584
1732610751722543.2,0,1,Memcpy HtoD,7,1732610751722585.8,602112,gpu_memcpy,19,42.336
1732610751910412.2,0,1,Memcpy DtoD,7,1732610751910459.2,12845056,gpu_memcpy,1999,46.688
1732610751928623.0,0,1,Memcpy DtoD,7,1732610751928670.0,12845056,gpu_memcpy,2167,47.072
1732610751938171.5,0,1,Memcpy DtoD,7,1732610751938195.0,6422528,gpu_memcpy,2344,23.552
1732610751942298.2,0,1,Memcpy DtoD,7,1732610751942322.2,6422528,gpu_memcpy,2504,24.064
1732610751944820.5,0,1,Memcpy DtoD,7,1732610751944829.5,3211264,gpu_memcpy,2677,9.12
1732610751947240.2,0,1,Memcpy DtoD,7,1732610751947249.8,3211264,gpu_memcpy,2839,9.6
1732610751947585.8,0,1,Memcpy DtoD,7,1732610751947595.2,3211264,gpu_memcpy,2934,9.312
1732610751955563.5,0,1,Memcpy DtoD,7,1732610751955567.0,1605632,gpu_memcpy,3122,3.2
1732610751957904.0,0,1,Memcpy DtoD,7,1732610751957907.2,1605632,gpu_memcpy,3302,3.168
1732610751958275.2,0,1,Memcpy DtoD,7,1732610751958279.2,1605632,gpu_memcpy,3400,3.776
1732610751987274.5,0,1,Memcpy DtoD,7,1732610751987277.0,401408,gpu_memcpy,4189,2.464
1732610751987860.2,0,1,Memcpy DtoD,7,1732610751987862.8,401408,gpu_memcpy,4292,2.528
1732610751988267.8,0,1,Memcpy DtoD,7,1732610751988270.2,401408,gpu_memcpy,4391,2.432
