start,pid,tid,name,cbid,end,cat,correlation,dur
1732547349934947.5,3315930,1471948608,cuGetProcAddress,626,1732547349934949.8,cuda_driver,31,1.988
1732547349934950.0,3315930,1471948608,cuGetProcAddress,626,1732547349934951.0,cuda_driver,32,0.939
1732547349934951.0,3315930,1471948608,cuGetProcAddress,626,1732547349934951.5,cuda_driver,33,0.294
1732547349934951.5,3315930,1471948608,cuGetProcAddress,626,1732547349934952.2,cuda_driver,34,0.744
1732547349934952.5,3315930,1471948608,cuGetProcAddress,626,1732547349934953.5,cuda_driver,35,1.122
1732547349934953.8,3315930,1471948608,cuGetProcAddress,626,1732547349934954.2,cuda_driver,36,0.571
1732547349934954.2,3315930,1471948608,cuGetProcAddress,626,1732547349934954.8,cuda_driver,37,0.512
1732547349934955.0,3315930,1471948608,cuGetProcAddress,626,1732547349934955.8,cuda_driver,38,0.707
1732547349934955.8,3315930,1471948608,cuGetProcAddress,626,1732547349934956.5,cuda_driver,39,0.691
1732547349934956.8,3315930,1471948608,cuGetProcAddress,626,1732547349934957.2,cuda_driver,40,0.722
1732547349934957.5,3315930,1471948608,cuGetProcAddress,626,1732547349934958.2,cuda_driver,41,0.745
1732547349934958.2,3315930,1471948608,cuGetProcAddress,626,1732547349934959.2,cuda_driver,42,0.786
1732547349934959.5,3315930,1471948608,cuGetProcAddress,626,1732547349934960.2,cuda_driver,43,0.733
1732547349934960.5,3315930,1471948608,cuGetProcAddress,626,1732547349934961.5,cuda_driver,44,1.083
1732547349934961.5,3315930,1471948608,cuGetProcAddress,626,1732547349934962.2,cuda_driver,45,0.597
1732547349934962.2,3315930,1471948608,cuGetProcAddress,626,1732547349934962.8,cuda_driver,46,0.561
1732547349934963.0,3315930,1471948608,cuGetProcAddress,626,1732547349934963.8,cuda_driver,47,0.731
1732547349934963.8,3315930,1471948608,cuGetProcAddress,626,1732547349934964.2,cuda_driver,48,0.46
1732547349934964.5,3315930,1471948608,cuGetProcAddress,626,1732547349934965.0,cuda_driver,49,0.578
1732547349934965.2,3315930,1471948608,cuGetProcAddress,626,1732547349934966.0,cuda_driver,50,0.917
1732547349934966.2,3315930,1471948608,cuGetProcAddress,626,1732547349934966.8,cuda_driver,51,0.612
1732547349934967.0,3315930,1471948608,cuGetProcAddress,626,1732547349934967.2,cuda_driver,52,0.302
1732547349934967.2,3315930,1471948608,cuGetProcAddress,626,1732547349934967.8,cuda_driver,53,0.452
1732547349934968.0,3315930,1471948608,cuGetProcAddress,626,1732547349934968.2,cuda_driver,54,0.296
1732547349934968.5,3315930,1471948608,cuGetProcAddress,626,1732547349934969.0,cuda_driver,55,0.632
1732547349934969.5,3315930,1471948608,cuGetProcAddress,626,1732547349934970.0,cuda_driver,56,0.553
1732547349934970.0,3315930,1471948608,cuGetProcAddress,626,1732547349934970.8,cuda_driver,57,0.758
1732547349934971.0,3315930,1471948608,cuGetProcAddress,626,1732547349934971.2,cuda_driver,58,0.403
1732547349934971.5,3315930,1471948608,cuGetProcAddress,626,1732547349934972.0,cuda_driver,59,0.374
1732547349934972.0,3315930,1471948608,cuGetProcAddress,626,1732547349934972.5,cuda_driver,60,0.503
1732547349934972.8,3315930,1471948608,cuGetProcAddress,626,1732547349934973.2,cuda_driver,61,0.601
1732547349934973.5,3315930,1471948608,cuGetProcAddress,626,1732547349934974.0,cuda_driver,62,0.549
1732547349934974.0,3315930,1471948608,cuGetProcAddress,626,1732547349934974.2,cuda_driver,63,0.265
1732547349934974.5,3315930,1471948608,cuGetProcAddress,626,1732547349934975.2,cuda_driver,64,0.748
1732547349934975.2,3315930,1471948608,cuGetProcAddress,626,1732547349934975.8,cuda_driver,65,0.509
1732547349934976.0,3315930,1471948608,cuGetProcAddress,626,1732547349934976.5,cuda_driver,66,0.392
1732547349934976.5,3315930,1471948608,cuGetProcAddress,626,1732547349934977.2,cuda_driver,67,0.594
1732547349934977.2,3315930,1471948608,cuGetProcAddress,626,1732547349934977.8,cuda_driver,68,0.589
1732547349934978.0,3315930,1471948608,cuGetProcAddress,626,1732547349934978.5,cuda_driver,69,0.468
1732547349934978.5,3315930,1471948608,cuGetProcAddress,626,1732547349934978.8,cuda_driver,70,0.278
1732547349934979.0,3315930,1471948608,cuGetProcAddress,626,1732547349934979.5,cuda_driver,71,0.573
1732547349934980.0,3315930,1471948608,cuGetProcAddress,626,1732547349934980.5,cuda_driver,72,0.593
1732547349934980.8,3315930,1471948608,cuGetProcAddress,626,1732547349934981.0,cuda_driver,73,0.446
1732547349934981.2,3315930,1471948608,cuGetProcAddress,626,1732547349934981.8,cuda_driver,74,0.408
1732547349934981.8,3315930,1471948608,cuGetProcAddress,626,1732547349934982.2,cuda_driver,75,0.546
1732547349934982.5,3315930,1471948608,cuGetProcAddress,626,1732547349934983.0,cuda_driver,76,0.561
1732547349934983.2,3315930,1471948608,cuGetProcAddress,626,1732547349934983.5,cuda_driver,77,0.226
1732547349934983.5,3315930,1471948608,cuGetProcAddress,626,1732547349934984.0,cuda_driver,78,0.429
1732547349934984.2,3315930,1471948608,cuGetProcAddress,626,1732547349934984.5,cuda_driver,79,0.334
1732547349934984.8,3315930,1471948608,cuGetProcAddress,626,1732547349934985.2,cuda_driver,80,0.439
1732547349934985.2,3315930,1471948608,cuGetProcAddress,626,1732547349934985.8,cuda_driver,81,0.437
1732547349934986.0,3315930,1471948608,cuGetProcAddress,626,1732547349934986.5,cuda_driver,82,0.546
1732547349934986.5,3315930,1471948608,cuGetProcAddress,626,1732547349934986.8,cuda_driver,83,0.222
1732547349934987.0,3315930,1471948608,cuGetProcAddress,626,1732547349934987.2,cuda_driver,84,0.246
1732547349934987.5,3315930,1471948608,cuGetProcAddress,626,1732547349934987.8,cuda_driver,85,0.207
1732547349934987.8,3315930,1471948608,cuGetProcAddress,626,1732547349934988.2,cuda_driver,86,0.379
1732547349934988.2,3315930,1471948608,cuGetProcAddress,626,1732547349934988.8,cuda_driver,87,0.42
1732547349934988.8,3315930,1471948608,cuGetProcAddress,626,1732547349934989.2,cuda_driver,88,0.354
1732547349934989.2,3315930,1471948608,cuGetProcAddress,626,1732547349934990.0,cuda_driver,89,0.544
1732547349934990.0,3315930,1471948608,cuGetProcAddress,626,1732547349934990.2,cuda_driver,90,0.354
1732547349934990.8,3315930,1471948608,cuGetProcAddress,626,1732547349934991.2,cuda_driver,91,0.397
1732547349934991.2,3315930,1471948608,cuGetProcAddress,626,1732547349934991.8,cuda_driver,92,0.379
1732547349934991.8,3315930,1471948608,cuGetProcAddress,626,1732547349934992.2,cuda_driver,93,0.371
1732547349934992.2,3315930,1471948608,cuGetProcAddress,626,1732547349934992.8,cuda_driver,94,0.587
1732547349934993.0,3315930,1471948608,cuGetProcAddress,626,1732547349934993.5,cuda_driver,95,0.417
1732547349934993.5,3315930,1471948608,cuGetProcAddress,626,1732547349934994.0,cuda_driver,96,0.404
1732547349934994.0,3315930,1471948608,cuGetProcAddress,626,1732547349934994.5,cuda_driver,97,0.518
1732547349934994.8,3315930,1471948608,cuGetProcAddress,626,1732547349934995.2,cuda_driver,98,0.446
1732547349934995.2,3315930,1471948608,cuGetProcAddress,626,1732547349934996.0,cuda_driver,99,0.701
1732547349934996.0,3315930,1471948608,cuGetProcAddress,626,1732547349934996.8,cuda_driver,100,0.535
1732547349934996.8,3315930,1471948608,cuGetProcAddress,626,1732547349934997.0,cuda_driver,101,0.209
1732547349934997.2,3315930,1471948608,cuGetProcAddress,626,1732547349934997.5,cuda_driver,102,0.274
1732547349934997.5,3315930,1471948608,cuGetProcAddress,626,1732547349934997.8,cuda_driver,103,0.259
1732547349934998.0,3315930,1471948608,cuGetProcAddress,626,1732547349934998.2,cuda_driver,104,0.242
1732547349934998.2,3315930,1471948608,cuGetProcAddress,626,1732547349934998.5,cuda_driver,105,0.223
1732547349934998.8,3315930,1471948608,cuGetProcAddress,626,1732547349934999.0,cuda_driver,106,0.387
1732547349934999.2,3315930,1471948608,cuGetProcAddress,626,1732547349934999.5,cuda_driver,107,0.385
1732547349934999.8,3315930,1471948608,cuGetProcAddress,626,1732547349935000.0,cuda_driver,108,0.252
1732547349935000.0,3315930,1471948608,cuGetProcAddress,626,1732547349935000.2,cuda_driver,109,0.245
1732547349935000.5,3315930,1471948608,cuGetProcAddress,626,1732547349935000.8,cuda_driver,110,0.387
1732547349935001.0,3315930,1471948608,cuGetProcAddress,626,1732547349935001.8,cuda_driver,111,0.424
1732547349935001.8,3315930,1471948608,cuGetProcAddress,626,1732547349935002.2,cuda_driver,112,0.558
1732547349935002.5,3315930,1471948608,cuGetProcAddress,626,1732547349935003.0,cuda_driver,113,0.486
