start,pid,tid,name,cbid,end,cat,correlation,dur
1732547349933086.5,3315930,1471948608,cudaGetDevice,17,1732547349933103.8,cuda_runtime,1,17.159
1732547349933111.2,3315930,1471948608,cudaGetDevice,17,1732547349933112.2,cuda_runtime,2,0.961
1732547349933119.5,3315930,1471948608,cudaGetDevice,17,1732547349933120.0,cuda_runtime,3,0.56
1732547349933135.5,3315930,1471948608,cudaGetDevice,17,1732547349933136.0,cuda_runtime,4,0.435
1732547349933137.8,3315930,1471948608,cudaGetDevice,17,1732547349933138.2,cuda_runtime,5,0.414
1732547349933164.2,3315930,1471948608,cudaGetDevice,17,1732547349933164.8,cuda_runtime,6,0.504
1732547349933169.5,3315930,1471948608,cudaGetDevice,17,1732547349933169.8,cuda_runtime,7,0.448
1732547349933172.5,3315930,1471948608,cudaMemcpyAsync,41,1732547349933253.0,cuda_runtime,8,80.381
1732547349933256.0,3315930,1471948608,cudaStreamSynchronize,131,1732547349933299.2,cuda_runtime,9,43.242
1732547349933301.5,3315930,1471948608,cudaGetDevice,17,1732547349933302.0,cuda_runtime,10,0.459
1732547349933353.0,3315930,1471948608,cudaGetDevice,17,1732547349933353.5,cuda_runtime,11,0.6
1732547349933356.8,3315930,1471948608,cudaGetDevice,17,1732547349933357.2,cuda_runtime,12,0.473
1732547349933357.5,3315930,1471948608,cudaGetDevice,17,1732547349933358.0,cuda_runtime,13,0.398
1732547349933359.0,3315930,1471948608,cudaGetDevice,17,1732547349933359.5,cuda_runtime,14,0.439
1732547349933362.0,3315930,1471948608,cudaGetDevice,17,1732547349933362.5,cuda_runtime,15,0.431
1732547349933362.8,3315930,1471948608,cudaGetDevice,17,1732547349933363.2,cuda_runtime,16,0.406
1732547349933367.0,3315930,1471948608,cudaGetDevice,17,1732547349933367.2,cuda_runtime,17,0.465
1732547349933367.8,3315930,1471948608,cudaGetDevice,17,1732547349933368.2,cuda_runtime,18,0.434
1732547349933368.5,3315930,1471948608,cudaMemcpyAsync,41,1732547349933416.8,cuda_runtime,19,48.113
1732547349933417.2,3315930,1471948608,cudaStreamSynchronize,131,1732547349933463.2,cuda_runtime,20,45.993
1732547349933463.5,3315930,1471948608,cudaGetDevice,17,1732547349933464.0,cuda_runtime,21,0.426
1732547349933855.0,3315930,1471948608,cudaGetDevice,17,1732547349933856.5,cuda_runtime,22,1.564
1732547349933874.5,3315930,1471948608,cudaGetDevice,17,1732547349933875.0,cuda_runtime,23,0.452
1732547349933880.5,3315930,1471948608,cudaGetDevice,17,1732547349933881.0,cuda_runtime,24,0.451
1732547349933893.2,3315930,1471948608,cudaGetLastError,10,1732547349933894.8,cuda_runtime,25,1.387
1732547349933895.0,3315930,1471948608,cudaGetDevice,17,1732547349933895.5,cuda_runtime,26,0.426
1732547349933896.2,3315930,1471948608,cudaStreamIsCapturing,317,1732547349933899.2,cuda_runtime,27,2.858
1732547349933899.8,3315930,1471948608,cudaMalloc,20,1732547349934077.8,cuda_runtime,28,177.93
1732547349934085.5,3315930,1471948608,cudaGetDevice,17,1732547349934086.2,cuda_runtime,29,0.79
1732547349934131.5,3315930,1471948608,cudaGetDevice,17,1732547349934132.0,cuda_runtime,30,0.49
1732547349940530.8,3315930,1471948608,cudaGetDeviceCount,3,1732547349940535.2,cuda_runtime,623,4.684
1732547349940536.0,3315930,1471948608,cudaGetDevice,17,1732547349940537.8,cuda_runtime,624,1.418
1732547349940541.8,3315930,1471948608,cudaDriverGetVersion,1,1732547349940542.2,cuda_runtime,625,0.491
1732547349940542.5,3315930,1471948608,cudaDeviceGetAttribute,200,1732547349940543.0,cuda_runtime,626,0.587
1732547349940543.2,3315930,1471948608,cudaDeviceGetAttribute,200,1732547349940543.5,cuda_runtime,627,0.416
1732547349940543.8,3315930,1471948608,cudaDeviceGetAttribute,200,1732547349940544.2,cuda_runtime,628,0.425
1732547349940544.2,3315930,1471948608,cudaDeviceGetAttribute,200,1732547349940544.8,cuda_runtime,629,0.384
1732547349940544.8,3315930,1471948608,cudaDeviceGetAttribute,200,1732547349940545.2,cuda_runtime,630,0.364
1732547349940545.2,3315930,1471948608,cudaDeviceGetAttribute,200,1732547349940545.8,cuda_runtime,631,0.369
1732547349940545.8,3315930,1471948608,cudaDeviceGetAttribute,200,1732547349940546.0,cuda_runtime,632,0.353
1732547349940546.2,3315930,1471948608,cudaDeviceGetAttribute,200,1732547349940546.5,cuda_runtime,633,0.404
1732547349940546.8,3315930,1471948608,cudaDeviceGetAttribute,200,1732547349941274.5,cuda_runtime,634,727.624
1732547349941274.8,3315930,1471948608,cudaDeviceGetAttribute,200,1732547349941874.2,cuda_runtime,635,599.5
1732547349941874.5,3315930,1471948608,cudaDeviceGetAttribute,200,1732547349941875.0,cuda_runtime,636,0.464
1732547349941875.0,3315930,1471948608,cudaDeviceGetAttribute,200,1732547349941875.5,cuda_runtime,637,0.417
1732547349941875.5,3315930,1471948608,cudaDeviceGetAttribute,200,1732547349941876.0,cuda_runtime,638,0.383
