start,device,context,name,stream,end,bytes,cat,correlation,dur
1732547349933252.0,0,1,Memcpy HtoD,7,1732547349933294.2,602112,gpu_memcpy,8,42.368
1732547349933417.5,0,1,Memcpy HtoD,7,1732547349933459.5,602112,gpu_memcpy,19,41.984
1732547350138102.0,0,1,Memcpy DtoD,7,1732547350138149.8,12845056,gpu_memcpy,1999,47.488
1732547350163940.5,0,1,Memcpy DtoD,7,1732547350163988.2,12845056,gpu_memcpy,2167,47.807
1732547350176916.8,0,1,Memcpy DtoD,7,1732547350176941.0,6422528,gpu_memcpy,2344,24.192
1732547350181878.0,0,1,Memcpy DtoD,7,1732547350181902.2,6422528,gpu_memcpy,2504,24.352
1732547350184386.0,0,1,Memcpy DtoD,7,1732547350184396.2,3211264,gpu_memcpy,2677,10.08
1732547350186776.8,0,1,Memcpy DtoD,7,1732547350186786.0,3211264,gpu_memcpy,2839,9.216
1732547350187115.0,0,1,Memcpy DtoD,7,1732547350187124.2,3211264,gpu_memcpy,2934,9.408
1732547350198076.8,0,1,Memcpy DtoD,7,1732547350198080.0,1605632,gpu_memcpy,3122,3.487
1732547350200470.5,0,1,Memcpy DtoD,7,1732547350200474.0,1605632,gpu_memcpy,3302,3.487
1732547350200813.0,0,1,Memcpy DtoD,7,1732547350200816.8,1605632,gpu_memcpy,3400,3.456
1732547350229915.0,0,1,Memcpy DtoD,7,1732547350229917.8,401408,gpu_memcpy,4189,2.816
1732547350230580.5,0,1,Memcpy DtoD,7,1732547350230583.2,401408,gpu_memcpy,4292,2.848
1732547350230972.0,0,1,Memcpy DtoD,7,1732547350230974.5,401408,gpu_memcpy,4391,2.72
