start,device,context,block,name,stream,shared memory,grid,end,cat,correlation,dur
1732547350039028.0,0,1,"256,1,1",_ZN14cask__5x_cudnn20computeOffsetsKernelILb0ELb0EEEvNS_20ComputeOffsetsParamsE,7,0,"197,1,1",0.0,kernel,1335,-1732547350039028.0
1732547350092040.8,0,1,"128,1,1",_5x_cudnn_ampere_scudnn_128x64_relu_medium_nn_v1,7,16384,"392,1,1",0.0,kernel,1338,-1732547350092040.8
1732547350113144.5,0,1,"128,1,1",_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,7,0,"12544,1,1",0.0,kernel,1344,-1732547350113144.5
1732547350113465.5,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_21CUDAFunctorOnSelf_addIlEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"1,1,1",0.0,kernel,1349,-1732547350113465.5
1732547350137603.0,0,1,"512,1,1",_ZN5cudnn25bn_fw_tr_1C11_kernel_NCHWIffiLi512ELb1ELi1ELb1EEEv17cudnnTensorStructPKT_S1_PS2_PKT0_S8_S6_S6_PS6_S9_S9_S9_S6_S6_,7,144,"64,1,1",0.0,kernel,1986,-1732547350137603.0
1732547350160318.8,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_49_GLOBAL__N__d2ba64fb_16_TensorCompare_cu_71e06f4e19launch_clamp_scalarERNS_18TensorIteratorBaseEN3c106ScalarES6_NS0_6detail11ClampLimitsEENKUlvE_clEvENKUlvE5_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"6272,1,1",0.0,kernel,2006,-1732547350160318.8
1732547350163212.5,0,1,"32,4,1",_ZN5cudnn8winograd27generateWinogradTilesKernelILi0EffEEvNS0_27GenerateWinogradTilesParamsIT0_T1_EE,7,8704,"2,16,1",0.0,kernel,2096,-1732547350163212.5
1732547350163229.2,0,1,"256,1,1",_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,7,49152,"2,28,14",0.0,kernel,2098,-1732547350163229.2
1732547350163372.0,0,1,"128,1,1",_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,7,0,"12544,1,1",0.0,kernel,2104,-1732547350163372.0
1732547350163444.0,0,1,"128,1,1",_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_21CUDAFunctorOnSelf_addIlEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_,7,0,"1,1,1",0.0,kernel,2109,-1732547350163444.0
1732547350163742.2,0,1,"512,1,1",_ZN5cudnn25bn_fw_tr_1C11_kernel_NCHWIffiLi512ELb1ELi1ELb1EEEv17cudnnTensorStructPKT_S1_PS2_PKT0_S8_S6_S6_PS6_S9_S9_S9_S6_S6_,7,144,"64,1,1",0.0,kernel,2154,-1732547350163742.2
