start,pid,tid,name,cbid,end,cat,correlation,dur
1732547400372762.8,3318029,676112192,cuGetProcAddress,626,1732547400372764.5,cuda_driver,31,1.806
1732547400372764.8,3318029,676112192,cuGetProcAddress,626,1732547400372765.8,cuda_driver,32,1.007
1732547400372766.0,3318029,676112192,cuGetProcAddress,626,1732547400372766.2,cuda_driver,33,0.334
1732547400372766.5,3318029,676112192,cuGetProcAddress,626,1732547400372767.0,cuda_driver,34,0.51
1732547400372767.2,3318029,676112192,cuGetProcAddress,626,1732547400372767.8,cuda_driver,35,0.515
1732547400372767.8,3318029,676112192,cuGetProcAddress,626,1732547400372768.5,cuda_driver,36,0.738
1732547400372768.8,3318029,676112192,cuGetProcAddress,626,1732547400372769.2,cuda_driver,37,0.392
1732547400372769.2,3318029,676112192,cuGetProcAddress,626,1732547400372769.8,cuda_driver,38,0.475
1732547400372770.0,3318029,676112192,cuGetProcAddress,626,1732547400372770.5,cuda_driver,39,0.497
1732547400372770.5,3318029,676112192,cuGetProcAddress,626,1732547400372771.2,cuda_driver,40,0.548
1732547400372771.2,3318029,676112192,cuGetProcAddress,626,1732547400372772.0,cuda_driver,41,0.545
1732547400372772.5,3318029,676112192,cuGetProcAddress,626,1732547400372773.0,cuda_driver,42,0.508
1732547400372773.2,3318029,676112192,cuGetProcAddress,626,1732547400372773.8,cuda_driver,43,0.53
1732547400372774.0,3318029,676112192,cuGetProcAddress,626,1732547400372774.5,cuda_driver,44,0.707
1732547400372774.8,3318029,676112192,cuGetProcAddress,626,1732547400372775.2,cuda_driver,45,0.461
1732547400372775.2,3318029,676112192,cuGetProcAddress,626,1732547400372775.8,cuda_driver,46,0.384
1732547400372776.0,3318029,676112192,cuGetProcAddress,626,1732547400372776.5,cuda_driver,47,0.663
1732547400372776.8,3318029,676112192,cuGetProcAddress,626,1732547400372777.2,cuda_driver,48,0.443
1732547400372777.2,3318029,676112192,cuGetProcAddress,626,1732547400372777.8,cuda_driver,49,0.44
1732547400372777.8,3318029,676112192,cuGetProcAddress,626,1732547400372778.2,cuda_driver,50,0.435
1732547400372778.5,3318029,676112192,cuGetProcAddress,626,1732547400372779.0,cuda_driver,51,0.549
1732547400372779.2,3318029,676112192,cuGetProcAddress,626,1732547400372779.5,cuda_driver,52,0.281
1732547400372779.5,3318029,676112192,cuGetProcAddress,626,1732547400372780.2,cuda_driver,53,0.751
1732547400372780.5,3318029,676112192,cuGetProcAddress,626,1732547400372780.8,cuda_driver,54,0.265
1732547400372780.8,3318029,676112192,cuGetProcAddress,626,1732547400372781.2,cuda_driver,55,0.456
1732547400372781.5,3318029,676112192,cuGetProcAddress,626,1732547400372781.8,cuda_driver,56,0.307
1732547400372782.0,3318029,676112192,cuGetProcAddress,626,1732547400372782.8,cuda_driver,57,0.488
1732547400372782.8,3318029,676112192,cuGetProcAddress,626,1732547400372783.0,cuda_driver,58,0.323
1732547400372783.2,3318029,676112192,cuGetProcAddress,626,1732547400372783.8,cuda_driver,59,0.35
1732547400372783.8,3318029,676112192,cuGetProcAddress,626,1732547400372784.2,cuda_driver,60,0.352
1732547400372784.2,3318029,676112192,cuGetProcAddress,626,1732547400372784.8,cuda_driver,61,0.409
1732547400372784.8,3318029,676112192,cuGetProcAddress,626,1732547400372785.2,cuda_driver,62,0.374
