start,pid,tid,name,cbid,end,cat,correlation,dur
1732547400370889.5,3318029,676112192,cudaGetDevice,17,1732547400370901.0,cuda_runtime,1,11.504
1732547400370907.2,3318029,676112192,cudaGetDevice,17,1732547400370908.2,cuda_runtime,2,0.902
1732547400370914.5,3318029,676112192,cudaGetDevice,17,1732547400370915.2,cuda_runtime,3,0.607
1732547400370929.2,3318029,676112192,cudaGetDevice,17,1732547400370929.5,cuda_runtime,4,0.43
1732547400370931.2,3318029,676112192,cudaGetDevice,17,1732547400370931.8,cuda_runtime,5,0.48
1732547400370952.0,3318029,676112192,cudaGetDevice,17,1732547400370952.5,cuda_runtime,6,0.503
1732547400370956.8,3318029,676112192,cudaGetDevice,17,1732547400370957.2,cuda_runtime,7,0.432
1732547400370960.0,3318029,676112192,cudaMemcpyAsync,41,1732547400371036.0,cuda_runtime,8,76.015
1732547400371039.0,3318029,676112192,cudaStreamSynchronize,131,1732547400371065.8,cuda_runtime,9,26.404
1732547400371067.5,3318029,676112192,cudaGetDevice,17,1732547400371068.0,cuda_runtime,10,0.489
1732547400371149.8,3318029,676112192,cudaGetDevice,17,1732547400371150.8,cuda_runtime,11,0.668
1732547400371153.8,3318029,676112192,cudaGetDevice,17,1732547400371154.2,cuda_runtime,12,0.442
1732547400371154.8,3318029,676112192,cudaGetDevice,17,1732547400371155.2,cuda_runtime,13,0.404
1732547400371156.0,3318029,676112192,cudaGetDevice,17,1732547400371156.5,cuda_runtime,14,0.433
1732547400371159.0,3318029,676112192,cudaGetDevice,17,1732547400371159.5,cuda_runtime,15,0.443
1732547400371159.8,3318029,676112192,cudaGetDevice,17,1732547400371160.2,cuda_runtime,16,0.398
1732547400371164.2,3318029,676112192,cudaGetDevice,17,1732547400371164.8,cuda_runtime,17,0.472
1732547400371165.0,3318029,676112192,cudaGetDevice,17,1732547400371165.5,cuda_runtime,18,0.445
1732547400371166.0,3318029,676112192,cudaMemcpyAsync,41,1732547400371215.8,cuda_runtime,19,49.648
1732547400371216.0,3318029,676112192,cudaStreamSynchronize,131,1732547400371244.8,cuda_runtime,20,28.93
1732547400371245.2,3318029,676112192,cudaGetDevice,17,1732547400371245.5,cuda_runtime,21,0.447
1732547400371748.2,3318029,676112192,cudaGetDevice,17,1732547400371750.0,cuda_runtime,22,1.625
1732547400371761.2,3318029,676112192,cudaGetDevice,17,1732547400371761.8,cuda_runtime,23,0.454
1732547400371764.2,3318029,676112192,cudaGetDevice,17,1732547400371764.8,cuda_runtime,24,0.449
1732547400371775.8,3318029,676112192,cudaGetLastError,10,1732547400371777.0,cuda_runtime,25,1.206
1732547400371777.5,3318029,676112192,cudaGetDevice,17,1732547400371778.0,cuda_runtime,26,0.625
1732547400371778.5,3318029,676112192,cudaStreamIsCapturing,317,1732547400371781.2,cuda_runtime,27,2.536
1732547400371782.0,3318029,676112192,cudaMalloc,20,1732547400371964.2,cuda_runtime,28,182.186
1732547400371971.5,3318029,676112192,cudaGetDevice,17,1732547400371972.5,cuda_runtime,29,0.818
1732547400371998.5,3318029,676112192,cudaGetDevice,17,1732547400371999.0,cuda_runtime,30,0.49
1732547400378320.2,3318029,676112192,cudaGetDeviceCount,3,1732547400378324.5,cuda_runtime,623,4.21
1732547400378325.2,3318029,676112192,cudaGetDevice,17,1732547400378326.5,cuda_runtime,624,1.439
1732547400378330.0,3318029,676112192,cudaDriverGetVersion,1,1732547400378330.5,cuda_runtime,625,0.298
1732547400378330.8,3318029,676112192,cudaDeviceGetAttribute,200,1732547400378331.2,cuda_runtime,626,0.622
1732547400378331.5,3318029,676112192,cudaDeviceGetAttribute,200,1732547400378332.0,cuda_runtime,627,0.424
1732547400378332.0,3318029,676112192,cudaDeviceGetAttribute,200,1732547400378332.5,cuda_runtime,628,0.419
1732547400378332.8,3318029,676112192,cudaDeviceGetAttribute,200,1732547400378333.0,cuda_runtime,629,0.39
