start,device,context,name,stream,end,bytes,cat,correlation,dur
1732547400371035.2,0,1,Memcpy HtoD,7,1732547400371060.8,602112,gpu_memcpy,8,25.6
1732547400371215.8,0,1,Memcpy HtoD,7,1732547400371241.2,602112,gpu_memcpy,19,25.472
1732547400974624.5,0,1,Memcpy DtoD,7,1732547400974671.2,12845056,gpu_memcpy,1999,46.624
1732547401003397.5,0,1,Memcpy DtoD,7,1732547401003443.8,12845056,gpu_memcpy,2167,46.303
1732547401019445.2,0,1,Memcpy DtoD,7,1732547401019469.8,6422528,gpu_memcpy,2344,24.544
1732547401027732.0,0,1,Memcpy DtoD,7,1732547401027756.5,6422528,gpu_memcpy,2504,24.608
1732547401032536.0,0,1,Memcpy DtoD,7,1732547401032548.8,3211264,gpu_memcpy,2677,12.608
1732547401036991.5,0,1,Memcpy DtoD,7,1732547401037003.0,3211264,gpu_memcpy,2839,11.584
1732547401039416.0,0,1,Memcpy DtoD,7,1732547401039428.8,3211264,gpu_memcpy,2934,12.544
1732547401053346.5,0,1,Memcpy DtoD,7,1732547401053353.5,1605632,gpu_memcpy,3122,6.848
1732547401058049.5,0,1,Memcpy DtoD,7,1732547401058056.2,1605632,gpu_memcpy,3302,6.624
1732547401060536.8,0,1,Memcpy DtoD,7,1732547401060543.0,1605632,gpu_memcpy,3400,6.336
1732547401138500.5,0,1,Memcpy DtoD,7,1732547401138504.0,401408,gpu_memcpy,4189,3.648
1732547401143190.2,0,1,Memcpy DtoD,7,1732547401143193.5,401408,gpu_memcpy,4292,3.136
