CUPTI_START_TIMESTAMP = 1732547349931562968
RUNTIME cbid=17 [ 1523607 - 1540766 ] process 3315930, thread 1471948608, correlation 1
RUNTIME cbid=17 [ 1548308 - 1549269 ] process 3315930, thread 1471948608, correlation 2
RUNTIME cbid=17 [ 1556457 - 1557017 ] process 3315930, thread 1471948608, correlation 3
RUNTIME cbid=17 [ 1572430 - 1572865 ] process 3315930, thread 1471948608, correlation 4
RUNTIME cbid=17 [ 1574751 - 1575165 ] process 3315930, thread 1471948608, correlation 5
RUNTIME cbid=17 [ 1601424 - 1601928 ] process 3315930, thread 1471948608, correlation 6
RUNTIME cbid=17 [ 1606372 - 1606820 ] process 3315930, thread 1471948608, correlation 7
MEMCPY HtoD[ 1688934 - 1731302 ] device 0, context 1, stream 7, size 602112, correlation 8
RUNTIME cbid=41 [ 1609482 - 1689863 ] process 3315930, thread 1471948608, correlation 8
RUNTIME cbid=131 [ 1692929 - 1736171 ] process 3315930, thread 1471948608, correlation 9
RUNTIME cbid=17 [ 1738470 - 1738929 ] process 3315930, thread 1471948608, correlation 10
RUNTIME cbid=17 [ 1789919 - 1790519 ] process 3315930, thread 1471948608, correlation 11
RUNTIME cbid=17 [ 1793853 - 1794326 ] process 3315930, thread 1471948608, correlation 12
RUNTIME cbid=17 [ 1794712 - 1795110 ] process 3315930, thread 1471948608, correlation 13
RUNTIME cbid=17 [ 1795842 - 1796281 ] process 3315930, thread 1471948608, correlation 14
RUNTIME cbid=17 [ 1799061 - 1799492 ] process 3315930, thread 1471948608, correlation 15
RUNTIME cbid=17 [ 1799769 - 1800175 ] process 3315930, thread 1471948608, correlation 16
RUNTIME cbid=17 [ 1803977 - 1804442 ] process 3315930, thread 1471948608, correlation 17
RUNTIME cbid=17 [ 1804889 - 1805323 ] process 3315930, thread 1471948608, correlation 18
MEMCPY HtoD[ 1854502 - 1896486 ] device 0, context 1, stream 7, size 602112, correlation 19
RUNTIME cbid=41 [ 1805677 - 1853790 ] process 3315930, thread 1471948608, correlation 19
RUNTIME cbid=131 [ 1854267 - 1900260 ] process 3315930, thread 1471948608, correlation 20
RUNTIME cbid=17 [ 1900586 - 1901012 ] process 3315930, thread 1471948608, correlation 21
RUNTIME cbid=17 [ 2292039 - 2293603 ] process 3315930, thread 1471948608, correlation 22
RUNTIME cbid=17 [ 2311565 - 2312017 ] process 3315930, thread 1471948608, correlation 23
RUNTIME cbid=17 [ 2317649 - 2318100 ] process 3315930, thread 1471948608, correlation 24
RUNTIME cbid=10 [ 2330175 - 2331562 ] process 3315930, thread 1471948608, correlation 25
RUNTIME cbid=17 [ 2332040 - 2332466 ] process 3315930, thread 1471948608, correlation 26
RUNTIME cbid=317 [ 2333312 - 2336170 ] process 3315930, thread 1471948608, correlation 27
RUNTIME cbid=20 [ 2336835 - 2514765 ] process 3315930, thread 1471948608, correlation 28
