CUPTI_START_TIMESTAMP = 1732893144388275816
RUNTIME cbid=17 [ 1548173 - 1564942 ] process 1964687, thread 1598371648, correlation 1
RUNTIME cbid=17 [ 1572294 - 1573192 ] process 1964687, thread 1598371648, correlation 2
RUNTIME cbid=17 [ 1580216 - 1580746 ] process 1964687, thread 1598371648, correlation 3
RUNTIME cbid=17 [ 1597495 - 1597938 ] process 1964687, thread 1598371648, correlation 4
RUNTIME cbid=17 [ 1599899 - 1600303 ] process 1964687, thread 1598371648, correlation 5
RUNTIME cbid=17 [ 1628412 - 1628909 ] process 1964687, thread 1598371648, correlation 6
RUNTIME cbid=17 [ 1633480 - 1633893 ] process 1964687, thread 1598371648, correlation 7
MEMCPY HtoD[ 1742804 - 1786260 ] device 0, context 1, stream 7, size 602112, correlation 8
RUNTIME cbid=41 [ 1636721 - 1744749 ] process 1964687, thread 1598371648, correlation 8
RUNTIME cbid=131 [ 1747834 - 1791487 ] process 1964687, thread 1598371648, correlation 9
RUNTIME cbid=17 [ 1793659 - 1794183 ] process 1964687, thread 1598371648, correlation 10
RUNTIME cbid=17 [ 1848714 - 1849407 ] process 1964687, thread 1598371648, correlation 11
RUNTIME cbid=17 [ 1853041 - 1853488 ] process 1964687, thread 1598371648, correlation 12
RUNTIME cbid=17 [ 1854075 - 1854488 ] process 1964687, thread 1598371648, correlation 13
RUNTIME cbid=17 [ 1855195 - 1855665 ] process 1964687, thread 1598371648, correlation 14
RUNTIME cbid=17 [ 1859199 - 1859655 ] process 1964687, thread 1598371648, correlation 15
RUNTIME cbid=17 [ 1860016 - 1860405 ] process 1964687, thread 1598371648, correlation 16
RUNTIME cbid=17 [ 1864897 - 1865352 ] process 1964687, thread 1598371648, correlation 17
RUNTIME cbid=17 [ 1865993 - 1866430 ] process 1964687, thread 1598371648, correlation 18
MEMCPY HtoD[ 1921396 - 1965716 ] device 0, context 1, stream 7, size 602112, correlation 19
RUNTIME cbid=41 [ 1866932 - 1920889 ] process 1964687, thread 1598371648, correlation 19
RUNTIME cbid=131 [ 1921291 - 1969590 ] process 1964687, thread 1598371648, correlation 20
RUNTIME cbid=17 [ 1969811 - 1970267 ] process 1964687, thread 1598371648, correlation 21
RUNTIME cbid=17 [ 2386008 - 2387650 ] process 1964687, thread 1598371648, correlation 22
RUNTIME cbid=17 [ 2404670 - 2405132 ] process 1964687, thread 1598371648, correlation 23
RUNTIME cbid=17 [ 2412515 - 2412946 ] process 1964687, thread 1598371648, correlation 24
RUNTIME cbid=10 [ 2424437 - 2425787 ] process 1964687, thread 1598371648, correlation 25
RUNTIME cbid=17 [ 2426352 - 2426816 ] process 1964687, thread 1598371648, correlation 26
RUNTIME cbid=317 [ 2427673 - 2430433 ] process 1964687, thread 1598371648, correlation 27
RUNTIME cbid=20 [ 2431278 - 2613860 ] process 1964687, thread 1598371648, correlation 28
RUNTIME cbid=17 [ 2621256 - 2622086 ] process 1964687, thread 1598371648, correlation 29
RUNTIME cbid=17 [ 2667285 - 2667800 ] process 1964687, thread 1598371648, correlation 30
DRIVER cbid=626 [ 3525390 - 3527552 ] process 1964687, thread 1598371648, correlation 31
DRIVER cbid=626 [ 3527869 - 3528816 ] process 1964687, thread 1598371648, correlation 32
DRIVER cbid=626 [ 3528972 - 3529229 ] process 1964687, thread 1598371648, correlation 33
DRIVER cbid=626 [ 3529397 - 3530134 ] process 1964687, thread 1598371648, correlation 34
