CUPTI_START_TIMESTAMP = 1732547400369144981
RUNTIME cbid=17 [ 1744425 - 1755929 ] process 3318029, thread 676112192, correlation 1
RUNTIME cbid=17 [ 1762277 - 1763179 ] process 3318029, thread 676112192, correlation 2
RUNTIME cbid=17 [ 1769646 - 1770253 ] process 3318029, thread 676112192, correlation 3
RUNTIME cbid=17 [ 1784061 - 1784491 ] process 3318029, thread 676112192, correlation 4
RUNTIME cbid=17 [ 1786147 - 1786627 ] process 3318029, thread 676112192, correlation 5
RUNTIME cbid=17 [ 1806854 - 1807357 ] process 3318029, thread 676112192, correlation 6
RUNTIME cbid=17 [ 1811939 - 1812371 ] process 3318029, thread 676112192, correlation 7
MEMCPY HtoD[ 1890215 - 1915815 ] device 0, context 1, stream 7, size 602112, correlation 8
RUNTIME cbid=41 [ 1814991 - 1891006 ] process 3318029, thread 676112192, correlation 8
RUNTIME cbid=131 [ 1894097 - 1920501 ] process 3318029, thread 676112192, correlation 9
RUNTIME cbid=17 [ 1922461 - 1922950 ] process 3318029, thread 676112192, correlation 10
RUNTIME cbid=17 [ 2004843 - 2005511 ] process 3318029, thread 676112192, correlation 11
RUNTIME cbid=17 [ 2008788 - 2009230 ] process 3318029, thread 676112192, correlation 12
RUNTIME cbid=17 [ 2009787 - 2010191 ] process 3318029, thread 676112192, correlation 13
RUNTIME cbid=17 [ 2010972 - 2011405 ] process 3318029, thread 676112192, correlation 14
RUNTIME cbid=17 [ 2014187 - 2014630 ] process 3318029, thread 676112192, correlation 15
RUNTIME cbid=17 [ 2014895 - 2015293 ] process 3318029, thread 676112192, correlation 16
RUNTIME cbid=17 [ 2019151 - 2019623 ] process 3318029, thread 676112192, correlation 17
RUNTIME cbid=17 [ 2020028 - 2020473 ] process 3318029, thread 676112192, correlation 18
MEMCPY HtoD[ 2070758 - 2096230 ] device 0, context 1, stream 7, size 602112, correlation 19
RUNTIME cbid=41 [ 2020892 - 2070540 ] process 3318029, thread 676112192, correlation 19
RUNTIME cbid=131 [ 2070933 - 2099863 ] process 3318029, thread 676112192, correlation 20
RUNTIME cbid=17 [ 2100215 - 2100662 ] process 3318029, thread 676112192, correlation 21
RUNTIME cbid=17 [ 2603156 - 2604781 ] process 3318029, thread 676112192, correlation 22
RUNTIME cbid=17 [ 2616131 - 2616585 ] process 3318029, thread 676112192, correlation 23
RUNTIME cbid=17 [ 2619315 - 2619764 ] process 3318029, thread 676112192, correlation 24
RUNTIME cbid=10 [ 2630757 - 2631963 ] process 3318029, thread 676112192, correlation 25
RUNTIME cbid=17 [ 2632560 - 2633185 ] process 3318029, thread 676112192, correlation 26
RUNTIME cbid=317 [ 2633689 - 2636225 ] process 3318029, thread 676112192, correlation 27
RUNTIME cbid=20 [ 2636995 - 2819181 ] process 3318029, thread 676112192, correlation 28
RUNTIME cbid=17 [ 2826495 - 2827313 ] process 3318029, thread 676112192, correlation 29
RUNTIME cbid=17 [ 2853564 - 2854054 ] process 3318029, thread 676112192, correlation 30
DRIVER cbid=626 [ 3617571 - 3619377 ] process 3318029, thread 676112192, correlation 31
DRIVER cbid=626 [ 3619749 - 3620756 ] process 3318029, thread 676112192, correlation 32
DRIVER cbid=626 [ 3620951 - 3621285 ] process 3318029, thread 676112192, correlation 33
DRIVER cbid=626 [ 3621479 - 3621989 ] process 3318029, thread 676112192, correlation 34
DRIVER cbid=626 [ 3622176 - 3622691 ] process 3318029, thread 676112192, correlation 35
DRIVER cbid=626 [ 3622877 - 3623615 ] process 3318029, thread 676112192, correlation 36
DRIVER cbid=626 [ 3623805 - 3624197 ] process 3318029, thread 676112192, correlation 37
DRIVER cbid=626 [ 3624380 - 3624855 ] process 3318029, thread 676112192, correlation 38
