ts,Input type,ph,Sequence number,Ev Idx,dur,tid,Fwd thread id,pid,Concrete Inputs,cat,Input Strides,Input Dims,External id,Record function id,name
6083647114854.46,"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar""]",X,132,1,2290.012,383547,0,383547,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""1""]",cpu_op,"[[150528, 50176, 224, 1], [27, 9, 3, 1], [1], [], [], [], []]","[[1, 3, 224, 224], [64, 3, 3, 3], [64], [], [], [], []]",2,0,aten::conv2d
6083647114863.977,"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar""]",X,132,2,2279.24,383547,0,383547,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1""]",cpu_op,"[[150528, 50176, 224, 1], [27, 9, 3, 1], [1], [], [], [], [], [], []]","[[1, 3, 224, 224], [64, 3, 3, 3], [64], [], [], [], [], [], []]",3,0,aten::convolution
6083647114878.348,"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,,3,2259.558,383547,,383547,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1"", ""False"", ""False"", ""True"", ""True""]",cpu_op,"[[150528, 50176, 224, 1], [27, 9, 3, 1], [1], [], [], [], [], [], [], [], [], [], []]","[[1, 3, 224, 224], [64, 3, 3, 3], [64], [], [], [], [], [], [], [], [], [], []]",4,0,aten::_convolution
6083647114892.812,"[""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,,4,2175.837,383547,,383547,"["""", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""1"", ""False"", ""False"", ""True""]",cpu_op,"[[150528, 50176, 224, 1], [27, 9, 3, 1], [], [], [], [], [], [], []]","[[1, 3, 224, 224], [64, 3, 3, 3], [], [], [], [], [], [], []]",5,0,aten::cudnn_convolution
6083647117086.712,"[""float"", ""ScalarList""]",X,,5,7.48,383547,,383547,"["""", ""[1, -1, 1, 1]""]",cpu_op,"[[1], []]","[[64], []]",6,0,aten::reshape
6083647117090.829,"[""float"", ""ScalarList""]",X,,6,2.962,383547,,383547,"["""", ""[1, -1, 1, 1]""]",cpu_op,"[[1], []]","[[64], []]",7,0,aten::view
6083647117106.342,"[""float"", ""float"", ""Scalar""]",X,,7,29.576,383547,,383547,"["""", """", ""1""]",cpu_op,"[[3211264, 50176, 224, 1], [64, 1, 1, 1], []]","[[1, 64, 224, 224], [1, 64, 1, 1], []]",8,0,aten::add_
6083647117219.925,"[""long int"", ""long int"", ""Scalar""]",X,133,8,25.282,383547,0,383547,"["""", """", ""1""]",cpu_op,"[[], [], []]","[[], [], []]",9,0,aten::add_
6083647117300.489,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,133,9,149.416,383547,0,383547,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]",cpu_op,"[[3211264, 50176, 224, 1], [1], [1], [1], [1], [], [], [], []]","[[1, 64, 224, 224], [64], [64], [64], [64], [], [], [], []]",10,0,aten::batch_norm
6083647117305.052,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,133,10,144.313,383547,0,383547,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]",cpu_op,"[[3211264, 50176, 224, 1], [1], [1], [1], [1], [], [], [], []]","[[1, 64, 224, 224], [64], [64], [64], [64], [], [], [], []]",11,0,aten::_batch_norm_impl_index
