ts,correlation,ph,dur,tid,pid,cbid,cat,External id,name
6083647116976.769,8,X,12.215,383547,383547,135,cuda_runtime,5,cudaEventRecord
6083647116989.415,9,X,1.198,383547,383547,317,cuda_runtime,5,cudaStreamIsCapturing
6083647116991.052,10,X,1.0,383547,383547,203,cuda_runtime,5,cudaStreamGetPriority
6083647116992.642,11,X,0.776,383547,383547,205,cuda_runtime,5,cudaDeviceGetStreamPriorityRange
6083647117016.659,15,X,26.32,383547,383547,211,cuda_runtime,5,cudaLaunchKernel
6083647117043.81,16,X,0.57,383547,383547,11,cuda_runtime,5,cudaPeekAtLastError
6083647117048.348,17,X,0.514,383547,383547,51,cuda_runtime,5,cudaMemsetAsync
6083647117049.614,18,X,8.756,383547,383547,211,cuda_runtime,5,cudaLaunchKernel
6083647117058.89,19,X,0.164,383547,383547,11,cuda_runtime,5,cudaPeekAtLastError
6083647117122.714,26,X,9.701,383547,383547,211,cuda_runtime,8,cudaLaunchKernel
6083647117231.142,32,X,10.587,383547,383547,211,cuda_runtime,9,cudaLaunchKernel
6083647117367.842,46,X,3.32,383547,383547,135,cuda_runtime,12,cudaEventRecord
6083647117371.552,47,X,1.041,383547,383547,317,cuda_runtime,12,cudaStreamIsCapturing
6083647117372.925,48,X,0.795,383547,383547,203,cuda_runtime,12,cudaStreamGetPriority
6083647117374.091,49,X,0.697,383547,383547,205,cuda_runtime,12,cudaDeviceGetStreamPriorityRange
6083647117413.115,73,X,1.206,383547,383547,135,cuda_runtime,12,cudaEventRecord
6083647117414.526,74,X,0.436,383547,383547,317,cuda_runtime,12,cudaStreamIsCapturing
6083647117415.19,75,X,0.431,383547,383547,203,cuda_runtime,12,cudaStreamGetPriority
6083647117415.838,76,X,0.439,383547,383547,205,cuda_runtime,12,cudaDeviceGetStreamPriorityRange
6083647117429.208,84,X,11.547,383547,383547,211,cuda_runtime,12,cudaLaunchKernel
6083647117527.516,96,X,19.504,383547,383547,41,cuda_runtime,23,cudaMemcpyAsync
6083647117615.273,104,X,10.788,383547,383547,211,cuda_runtime,25,cudaLaunchKernel
6083647117732.661,119,X,3.105,383547,383547,135,cuda_runtime,30,cudaEventRecord
6083647117736.163,120,X,0.835,383547,383547,317,cuda_runtime,30,cudaStreamIsCapturing
6083647117737.357,121,X,0.763,383547,383547,203,cuda_runtime,30,cudaStreamGetPriority
6083647117738.467,122,X,0.581,383547,383547,205,cuda_runtime,30,cudaDeviceGetStreamPriorityRange
6083647117761.234,126,X,0.496,383547,383547,11,cuda_runtime,30,cudaPeekAtLastError
6083647117764.073,127,X,11.564,383547,383547,211,cuda_runtime,30,cudaLaunchKernel
6083647117777.93,129,X,5.49,383547,383547,211,cuda_runtime,30,cudaLaunchKernel
6083647117783.965,130,X,0.141,383547,383547,11,cuda_runtime,30,cudaPeekAtLastError
6083647117813.675,137,X,7.213,383547,383547,211,cuda_runtime,33,cudaLaunchKernel
6083647117885.993,143,X,7.661,383547,383547,211,cuda_runtime,34,cudaLaunchKernel
6083647117965.858,157,X,2.687,383547,383547,135,cuda_runtime,37,cudaEventRecord
6083647117968.909,158,X,0.789,383547,383547,317,cuda_runtime,37,cudaStreamIsCapturing
