ts,block,tid,queued,dur,name,context,device,registers per thread,shared memory,stream,correlation,ph,blocks per SM,pid,cat,warps per SM,grid,est. achieved occupancy %,External id
6083647120702.857,"[256, 1, 1]",7,0,2.209,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",1,0,16,0,7,15,X,2.345238,0,kernel,18.761906,"[197, 1, 1]",39,5
6083647120705.801,"[128, 1, 1]",7,0,39.52,_5x_cudnn_ampere_scudnn_128x64_relu_medium_nn_v1,1,0,128,16384,7,18,X,4.666667,0,kernel,18.666666,"[392, 1, 1]",33,5
6083647120746.122,"[128, 1, 1]",7,0,46.015,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",1,0,16,0,7,26,X,149.333328,0,kernel,597.333313,"[12544, 1, 1]",100,8
6083647120792.905,"[128, 1, 1]",7,0,2.272,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2>)",1,0,24,0,7,32,X,0.011905,0,kernel,0.047619,"[1, 1, 1]",0,9
6083647120795.913,"[512, 1, 1]",7,0,64.096,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, 512, true, 1, true>(cudnnTensorStruct, float const*, cudnnTensorStruct, float*, float const*, float const*, float, float, float*, float*, float*, float*, float, float)",1,0,40,144,7,84,X,0.761905,0,kernel,12.190476,"[64, 1, 1]",25,12
6083647120907.945,"[128, 1, 1]",7,0,46.368,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>)",1,0,18,0,7,104,X,74.666664,0,kernel,298.666656,"[6272, 1, 1]",100,25
6083647120955.113,"[32, 4, 1]",7,0,3.136,"void cudnn::winograd::generateWinogradTilesKernel<0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<float, float>)",1,0,40,8704,7,127,X,0.380952,0,kernel,1.52381,"[2, 16, 1]",3,30
6083647120959.049,"[256, 1, 1]",7,0,144.192,_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,1,0,126,49152,7,129,X,9.333333,0,kernel,74.666664,"[2, 28, 14]",33,30
6083647121104.137,"[128, 1, 1]",7,0,46.016,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",1,0,16,0,7,137,X,149.333328,0,kernel,597.333313,"[12544, 1, 1]",100,33
6083647121150.857,"[128, 1, 1]",7,0,2.112,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2>)",1,0,24,0,7,143,X,0.011905,0,kernel,0.047619,"[1, 1, 1]",0,34
