ts,Python parent id,ph,Ev Idx,dur,tid,Python module id,pid,Python id,cat,name
6083647114239.063,,X,364,14168.402,0,,0,1,python_function,threading.py(973): _bootstrap
6083647114239.987,1,X,365,14167.478,0,,0,2,python_function,threading.py(1016): _bootstrap_inner
6083647114242.035,2,X,366,14165.43,0,,0,3,python_function,decorator.py(232): fun
6083647114242.723,3,X,367,14164.742,0,,0,4,python_function,IPython/core/history.py(61): only_when_enabled
6083647114245.846,4,X,368,14161.619,0,,0,5,python_function,IPython/core/history.py(903): run
6083647114246.686,5,X,369,14160.779,0,,0,6,python_function,threading.py(607): wait
6083647114247.41,6,X,370,14160.055,0,,0,7,python_function,threading.py(320): wait
6083647114251.571,7,X,371,14155.894,0,,0,8,python_function,threading.py(973): _bootstrap
6083647114251.954,8,X,372,14155.511,0,,0,9,python_function,threading.py(1016): _bootstrap_inner
6083647114254.643,9,X,373,14152.822,0,,0,10,python_function,ipykernel/control.py(23): run
6083647114257.696,10,X,374,14149.769,0,,0,11,python_function,tornado/platform/asyncio.py(205): start
6083647114260.919,11,X,375,14146.546,0,,0,12,python_function,asyncio/base_events.py(603): run_forever
6083647114261.665,12,X,376,14145.8,0,,0,13,python_function,asyncio/base_events.py(1871): _run_once
6083647114262.525,13,X,377,14144.94,0,,0,14,python_function,selectors.py(469): select
6083647114264.507,14,X,378,14142.958,0,,0,15,python_function,threading.py(973): _bootstrap
6083647114264.798,15,X,379,14142.667,0,,0,16,python_function,threading.py(1016): _bootstrap_inner
6083647114265.629,16,X,380,14141.836,0,,0,17,python_function,threading.py(953): run
6083647114266.635,17,X,381,14140.83,0,,0,18,python_function,ipykernel/iostream.py(387): _watch_pipe_fd
6083647114269.803,18,X,382,14137.662,0,,0,19,python_function,threading.py(973): _bootstrap
6083647114270.115,19,X,383,14137.35,0,,0,20,python_function,threading.py(1016): _bootstrap_inner
6083647114270.677,20,X,384,14136.788,0,,0,21,python_function,threading.py(953): run
6083647114270.967,21,X,385,14136.498,0,,0,22,python_function,ipykernel/iostream.py(387): _watch_pipe_fd
6083647114273.563,22,X,386,14133.902,0,,0,23,python_function,threading.py(973): _bootstrap
6083647114274.088,23,X,387,14133.377,0,,0,24,python_function,threading.py(1016): _bootstrap_inner
6083647114276.745,24,X,388,14130.72,0,,0,25,python_function,ipykernel/heartbeat.py(106): run
6083647114280.263,25,X,389,14127.202,0,,0,26,python_function,threading.py(973): _bootstrap
6083647114280.516,26,X,390,14126.949,0,,0,27,python_function,threading.py(1016): _bootstrap_inner
6083647114280.889,27,X,391,14126.576,0,,0,28,python_function,threading.py(953): run
6083647114281.404,28,X,392,14126.061,0,,0,29,python_function,ipykernel/iostream.py(92): _thread_main
6083647114282.202,29,X,393,14125.263,0,,0,30,python_function,tornado/platform/asyncio.py(205): start
6083647114282.6,30,X,394,14124.865,0,,0,31,python_function,asyncio/base_events.py(603): run_forever
6083647114283.099,31,X,395,14124.366,0,,0,32,python_function,asyncio/base_events.py(1871): _run_once
6083647114283.546,32,X,396,14123.919,0,,0,33,python_function,selectors.py(469): select
6083647114295.776,,X,397,14111.689,383547,,383547,34,python_function,runpy.py(196): _run_module_as_main
6083647114298.61,34,X,398,14108.855,383547,,383547,35,python_function,runpy.py(86): _run_code
6083647114299.659,35,X,399,14107.806,383547,,383547,36,python_function,ipykernel_launcher.py(18): <module>
