ts,ph,tid,pid,cat,bp,id,name
6444517553450.315,f,7,0,ac2g,e,4072,ac2g
6444517544915.215,s,1221244,1221244,ac2g,,4072,ac2g
6444517558868.867,f,7,0,ac2g,e,4085,ac2g
6444517553849.041,s,1221244,1221244,ac2g,,4085,ac2g
6444517579498.464,f,7,0,ac2g,e,4111,ac2g
6444517560258.927,s,1221370,1221244,ac2g,,4111,ac2g
6444517579549.382,f,1221370,1221244,ac2g,e,4118,ac2g
6444517579563.143,f,1221370,1221244,ac2g,e,4120,ac2g
6444517579590.901,f,1221370,1221244,ac2g,e,4129,ac2g
6444517579603.987,f,1221370,1221244,ac2g,e,4138,ac2g
6444517581467.782,f,1221370,1221244,ac2g,e,4153,ac2g
6444517581487.401,f,7,0,ac2g,e,4155,ac2g
6444517581473.705,s,1221370,1221244,ac2g,,4155,ac2g
6444517588617.129,f,7,0,ac2g,e,4156,ac2g
6444517581497.449,s,1221370,1221244,ac2g,,4156,ac2g
6444517588751.786,f,7,0,ac2g,e,4174,ac2g
6444517588739.733,s,1221370,1221244,ac2g,,4174,ac2g
6444517588790.634,f,1221370,1221244,ac2g,e,4187,ac2g
6444517593104.445,f,7,0,ac2g,e,4188,ac2g
6444517593090.972,s,1221370,1221244,ac2g,,4188,ac2g
6444517593209.214,f,7,0,ac2g,e,4201,ac2g
6444517593197.588,s,1221370,1221244,ac2g,,4201,ac2g
6444517602528.136,f,7,0,ac2g,e,4231,ac2g
6444517593508.617,s,1221370,1221244,ac2g,,4231,ac2g
6444517612628.758,f,7,0,ac2g,e,4245,ac2g
6444517602675.092,s,1221370,1221244,ac2g,,4245,ac2g
6444517612821.501,f,1221370,1221244,ac2g,e,4280,ac2g
6444517612824.257,f,1221370,1221244,ac2g,e,4282,ac2g
6444517612825.299,f,1221370,1221244,ac2g,e,4283,ac2g
6444517612827.613,f,1221370,1221244,ac2g,e,4284,ac2g
6444517612828.283,f,1221370,1221244,ac2g,e,4285,ac2g
6444517612828.905,f,1221370,1221244,ac2g,e,4286,ac2g
6444517612829.52,f,1221370,1221244,ac2g,e,4287,ac2g
6444517612830.023,f,1221370,1221244,ac2g,e,4288,ac2g
6444517612830.452,f,1221370,1221244,ac2g,e,4289,ac2g
6444517612831.043,f,1221370,1221244,ac2g,e,4290,ac2g
6444517612831.599,f,1221370,1221244,ac2g,e,4291,ac2g
6444517614060.528,f,1221370,1221244,ac2g,e,4292,ac2g
6444517614569.722,f,1221370,1221244,ac2g,e,4293,ac2g
6444517614570.352,f,1221370,1221244,ac2g,e,4294,ac2g
6444517614570.86,f,1221370,1221244,ac2g,e,4295,ac2g
6444517614571.326,f,1221370,1221244,ac2g,e,4296,ac2g
6444517614571.936,f,1221370,1221244,ac2g,e,4297,ac2g
6444517614572.796,f,1221370,1221244,ac2g,e,4298,ac2g
6444517614573.243,f,1221370,1221244,ac2g,e,4299,ac2g
6444517614573.846,f,1221370,1221244,ac2g,e,4300,ac2g
6444517614574.267,f,1221370,1221244,ac2g,e,4301,ac2g
6444517614574.727,f,1221370,1221244,ac2g,e,4302,ac2g
6444517614575.141,f,1221370,1221244,ac2g,e,4303,ac2g
6444517614576.001,f,1221370,1221244,ac2g,e,4304,ac2g
6444517615691.129,f,1221370,1221244,ac2g,e,4305,ac2g
6444517615691.654,f,1221370,1221244,ac2g,e,4306,ac2g
6444517615693.235,f,1221370,1221244,ac2g,e,4307,ac2g
6444517615708.225,f,1221370,1221244,ac2g,e,4308,ac2g
6444517615711.246,f,1221370,1221244,ac2g,e,4309,ac2g
6444517615713.68,f,1221370,1221244,ac2g,e,4310,ac2g
6444517615716.616,f,1221370,1221244,ac2g,e,4311,ac2g
6444517615719.079,f,1221370,1221244,ac2g,e,4312,ac2g
6444517615722.184,f,1221370,1221244,ac2g,e,4313,ac2g
6444517615728.255,f,1221370,1221244,ac2g,e,4314,ac2g
6444517615904.531,f,1221370,1221244,ac2g,e,4315,ac2g
6444517615907.227,f,1221370,1221244,ac2g,e,4316,ac2g
6444517615909.588,f,1221370,1221244,ac2g,e,4317,ac2g
6444517615911.88,f,1221370,1221244,ac2g,e,4318,ac2g
6444517615914.264,f,1221370,1221244,ac2g,e,4319,ac2g
6444517615916.32,f,1221370,1221244,ac2g,e,4320,ac2g
6444517615918.573,f,1221370,1221244,ac2g,e,4321,ac2g
6444517615920.897,f,1221370,1221244,ac2g,e,4322,ac2g
6444517615948.9,f,1221370,1221244,ac2g,e,4323,ac2g
6444517615987.812,f,30,0,ac2g,e,4324,ac2g
6444517615963.674,s,1221370,1221244,ac2g,,4324,ac2g
6444517615990.925,f,1221370,1221244,ac2g,e,4326,ac2g
6444517616008.65,f,1221370,1221244,ac2g,e,4327,ac2g
6444517616013.978,f,1221370,1221244,ac2g,e,4328,ac2g
6444517616022.32,f,1221370,1221244,ac2g,e,4330,ac2g
6444517616027.168,f,1221370,1221244,ac2g,e,4331,ac2g
6444517616029.813,f,1221370,1221244,ac2g,e,4332,ac2g
6444517616031.298,f,1221370,1221244,ac2g,e,4333,ac2g
6444517616346.037,f,1221370,1221244,ac2g,e,4341,ac2g
6444517624540.939,f,7,0,ac2g,e,4342,ac2g
6444517624526.106,s,1221370,1221244,ac2g,,4342,ac2g
6444517624749.485,f,1221370,1221244,ac2g,e,4366,ac2g
6444517624754.191,f,1221370,1221244,ac2g,e,4367,ac2g
6444517624755.554,f,1221370,1221244,ac2g,e,4368,ac2g
6444517624756.916,f,1221370,1221244,ac2g,e,4369,ac2g
6444517625135.671,f,1221370,1221244,ac2g,e,4371,ac2g
6444517625356.454,f,1221370,1221244,ac2g,e,4372,ac2g
6444517625516.866,f,1221370,1221244,ac2g,e,4373,ac2g
6444517625690.857,f,1221370,1221244,ac2g,e,4374,ac2g
6444517625866.113,f,1221370,1221244,ac2g,e,4375,ac2g
