ts,Input type,ph,Sequence number,Ev Idx,dur,tid,Fwd thread id,pid,Concrete Inputs,cat,Input Strides,Input Dims,External id,Record function id,name
6444517559698.222,,X,210,0,260.285,1221370,1,1221244,,cpu_op,,,1025,0,autograd::engine::evaluate_function: SumBackward0
6444517559776.139,"[""float""]",X,210,1,161.86,1221370,1,1221244,"[""""]",cpu_op,[[]],[[]],1026,0,SumBackward0
6444517559863.063,"[""float"", ""ScalarList"", ""Scalar""]",X,,2,65.248,1221370,,1221244,"["""", ""[5, 1000]"", ""False""]",cpu_op,"[[], [], []]","[[], [], []]",1027,0,aten::expand
6444517559908.144,"[""float"", ""ScalarList"", ""ScalarList"", """"]",X,,3,7.964,1221370,,1221244,"["""", ""[5, 1000]"", ""[0, 0]"", """"]",cpu_op,"[[], [], [], []]","[[], [], [], []]",1028,0,aten::as_strided
6444517559988.107,,X,209,4,33259.649,1221370,1,1221244,,cpu_op,,,1029,0,autograd::engine::evaluate_function: AddmmBackward0
6444517560008.96,"[""float""]",X,209,5,33139.02,1221370,1,1221244,"[""""]",cpu_op,"[[0, 0]]","[[5, 1000]]",1030,0,AddmmBackward0
6444517560021.204,"[""float""]",X,,6,26.217,1221370,,1221244,"[""""]",cpu_op,"[[1, 512]]","[[512, 1000]]",1031,0,aten::t
6444517560030.656,"[""float"", ""Scalar"", ""Scalar""]",X,,7,11.457,1221370,,1221244,"["""", ""0"", ""1""]",cpu_op,"[[1, 512], [], []]","[[512, 1000], [], []]",1032,0,aten::transpose
6444517560038.239,"[""float"", ""ScalarList"", ""ScalarList"", """"]",X,,8,2.06,1221370,,1221244,"["""", ""[1000, 512]"", ""[512, 1]"", """"]",cpu_op,"[[1, 512], [], [], []]","[[512, 1000], [], [], []]",1033,0,aten::as_strided
6444517560079.797,"[""float"", ""float""]",X,,9,28558.227,1221370,,1221244,"["""", """"]",cpu_op,"[[0, 0], [512, 1]]","[[5, 1000], [1000, 512]]",1034,0,aten::mm
6444517560143.792,"[""float"", ""Scalar""]",X,,10,19379.301,1221370,,1221244,"["""", ""0""]",cpu_op,"[[0, 0], []]","[[5, 1000], []]",1035,0,aten::clone
6444517560149.475,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",X,,11,42.369,1221370,,1221244,"["""", ""6"", ""0"", """", """", ""0""]",cpu_op,"[[0, 0], [], [], [], [], []]","[[5, 1000], [], [], [], [], []]",1036,0,aten::empty_like
6444517560158.326,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",X,,12,31.152,1221370,,1221244,"[""[5, 1000]"", ""6"", ""0"", """", """", ""0""]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",1037,0,aten::empty
6444517560200.475,"[""float"", ""float"", ""Scalar""]",X,,13,19319.674,1221370,,1221244,"["""", """", ""False""]",cpu_op,"[[1000, 1], [0, 0], []]","[[5, 1000], [5, 1000], []]",1038,0,aten::copy_
6444517588656.444,"[""float""]",X,,14,20.653,1221370,,1221244,"[""""]",cpu_op,"[[0, 0]]","[[5, 1000]]",1039,0,aten::t
6444517588663.023,"[""float"", ""Scalar"", ""Scalar""]",X,,15,10.162,1221370,,1221244,"["""", ""0"", ""1""]",cpu_op,"[[0, 0], [], []]","[[5, 1000], [], []]",1040,0,aten::transpose
6444517588669.382,"[""float"", ""ScalarList"", ""ScalarList"", """"]",X,,16,3.263,1221370,,1221244,"["""", ""[1000, 5]"", ""[0, 0]"", """"]",cpu_op,"[[0, 0], [], [], []]","[[5, 1000], [], [], []]",1041,0,aten::as_strided
6444517588680.658,"[""float"", ""float""]",X,,17,4436.873,1221370,,1221244,"["""", """"]",cpu_op,"[[0, 0], [512, 1]]","[[1000, 5], [5, 512]]",1042,0,aten::mm
6444517588697.644,"[""float"", ""Scalar""]",X,,18,59.962,1221370,,1221244,"["""", ""0""]",cpu_op,"[[0, 0], []]","[[1000, 5], []]",1043,0,aten::clone
6444517588700.524,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",X,,19,17.971,1221370,,1221244,"["""", ""6"", ""0"", """", """", ""0""]",cpu_op,"[[0, 0], [], [], [], [], []]","[[1000, 5], [], [], [], [], []]",1044,0,aten::empty_like
6444517588708.752,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",X,,20,8.597,1221370,,1221244,"[""[1000, 5]"", ""6"", ""0"", """", """", ""0""]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",1045,0,aten::empty
6444517588722.057,"[""float"", ""float"", ""Scalar""]",X,,21,34.869,1221370,,1221244,"["""", """", ""False""]",cpu_op,"[[5, 1], [0, 0], []]","[[1000, 5], [1000, 5], []]",1046,0,aten::copy_
6444517593128.37,"[""float""]",X,,22,15.904,1221370,,1221244,"[""""]",cpu_op,"[[512, 1]]","[[1000, 512]]",1047,0,aten::t
6444517593133.207,"[""float"", ""Scalar"", ""Scalar""]",X,,23,8.255,1221370,,1221244,"["""", ""0"", ""1""]",cpu_op,"[[512, 1], [], []]","[[1000, 512], [], []]",1048,0,aten::transpose
6444517593138.175,"[""float"", ""ScalarList"", ""ScalarList"", """"]",X,,24,2.713,1221370,,1221244,"["""", ""[512, 1000]"", ""[1, 512]"", """"]",cpu_op,"[[512, 1], [], [], []]","[[1000, 512], [], [], []]",1049,0,aten::as_strided
6444517593156.731,"[""float"", ""ScalarList"", ""Scalar"", """"]",X,,25,56.845,1221370,,1221244,"["""", ""[0]"", ""True"", """"]",cpu_op,"[[0, 0], [], [], []]","[[5, 1000], [], [], []]",1050,0,aten::sum
6444517593217.775,"[""float"", ""ScalarList""]",X,,26,6.595,1221370,,1221244,"["""", ""[1000]""]",cpu_op,"[[1000, 1], []]","[[1, 1000], []]",1051,0,aten::view
6444517593289.031,,X,,27,26.641,1221370,,1221244,,cpu_op,,,1052,0,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad
6444517593294.321,"[""float""]",X,,28,16.776,1221370,,1221244,"[""""]",cpu_op,[[1]],[[1000]],1053,0,torch::autograd::AccumulateGrad
6444517593301.344,"[""float""]",X,,29,8.527,1221370,,1221244,"[""""]",cpu_op,[[1]],[[1000]],1054,0,aten::detach
6444517593304.002,"[""float""]",X,,30,5.451,1221370,,1221244,"[""""]",cpu_op,[[1]],[[1000]],1055,0,detach
6444517593324.69,,X,208,31,17.548,1221370,1,1221244,,cpu_op,,,1056,0,autograd::engine::evaluate_function: TBackward0
6444517593327.501,"[""float""]",X,208,32,10.828,1221370,1,1221244,"[""""]",cpu_op,"[[1, 512]]","[[512, 1000]]",1057,0,TBackward0
6444517593329.373,"[""float""]",X,,33,8.385,1221370,,1221244,"[""""]",cpu_op,"[[1, 512]]","[[512, 1000]]",1058,0,aten::t
6444517593331.47,"[""float"", ""Scalar"", ""Scalar""]",X,,34,4.633,1221370,,1221244,"["""", ""0"", ""1""]",cpu_op,"[[1, 512], [], []]","[[512, 1000], [], []]",1059,0,aten::transpose
6444517593334.43,"[""float"", ""ScalarList"", ""ScalarList"", """"]",X,,35,1.083,1221370,,1221244,"["""", ""[1000, 512]"", ""[512, 1]"", """"]",cpu_op,"[[1, 512], [], [], []]","[[512, 1000], [], [], []]",1060,0,aten::as_strided
6444517593350.178,,X,,36,10.706,1221370,,1221244,,cpu_op,,,1061,0,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad
6444517593353.364,"[""float""]",X,,37,5.233,1221370,,1221244,"[""""]",cpu_op,"[[512, 1]]","[[1000, 512]]",1062,0,torch::autograd::AccumulateGrad
6444517593355.25,"[""float""]",X,,38,2.764,1221370,,1221244,"[""""]",cpu_op,"[[512, 1]]","[[1000, 512]]",1063,0,aten::detach
6444517593356.233,"[""float""]",X,,39,1.424,1221370,,1221244,"[""""]",cpu_op,"[[512, 1]]","[[1000, 512]]",1064,0,detach
6444517593368.265,,X,207,40,23.985,1221370,1,1221244,,cpu_op,,,1065,0,autograd::engine::evaluate_function: ViewBackward0
6444517593370.841,"[""float""]",X,207,41,17.563,1221370,1,1221244,"[""""]",cpu_op,"[[512, 1]]","[[5, 512]]",1066,0,ViewBackward0
6444517593382.4,"[""float"", ""ScalarList""]",X,,42,5.566,1221370,,1221244,"["""", ""[5, 512, 1, 1]""]",cpu_op,"[[512, 1], []]","[[5, 512], []]",1067,0,aten::reshape
6444517593384.678,"[""float"", ""ScalarList""]",X,,43,2.628,1221370,,1221244,"["""", ""[5, 512, 1, 1]""]",cpu_op,"[[512, 1], []]","[[5, 512], []]",1068,0,aten::view
6444517593399.792,,X,206,44,9161.741,1221370,1,1221244,,cpu_op,,,1069,0,autograd::engine::evaluate_function: MeanBackward1
6444517593402.377,"[""float""]",X,206,45,9145.509,1221370,1,1221244,"[""""]",cpu_op,"[[512, 1, 1, 1]]","[[5, 512, 1, 1]]",1070,0,MeanBackward1
6444517593412.441,"[""float"", ""ScalarList"", ""Scalar""]",X,,46,10.214,1221370,,1221244,"["""", ""[5, 512, 7, 7]"", ""False""]",cpu_op,"[[512, 1, 1, 1], [], []]","[[5, 512, 1, 1], [], []]",1071,0,aten::expand
6444517593419.253,"[""float"", ""ScalarList"", ""ScalarList"", """"]",X,,47,1.592,1221370,,1221244,"["""", ""[5, 512, 7, 7]"", ""[512, 1, 0, 0]"", """"]",cpu_op,"[[512, 1, 1, 1], [], [], []]","[[5, 512, 1, 1], [], [], []]",1072,0,aten::as_strided
6444517593441.275,"[""float"", ""Scalar""]",X,,48,9104.353,1221370,,1221244,"["""", ""49""]",cpu_op,"[[512, 1, 0, 0], []]","[[5, 512, 7, 7], []]",1073,0,aten::div
6444517593470.184,"[""float"", ""long int""]",X,,49,9069.754,1221370,,1221244,"["""", """"]",cpu_op,"[[512, 1, 0, 0], []]","[[5, 512, 7, 7], []]",1074,0,aten::div
6444517602588.417,,X,205,50,10078.915,1221370,1,1221244,,cpu_op,,,1075,0,autograd::engine::evaluate_function: ReluBackward0
6444517602593.23,"[""float""]",X,205,51,10056.814,1221370,1,1221244,"[""""]",cpu_op,"[[25088, 49, 7, 1]]","[[5, 512, 7, 7]]",1076,0,ReluBackward0
6444517602619.766,"[""float"", ""float"", ""Scalar""]",X,,52,10026.13,1221370,,1221244,"["""", """", ""0""]",cpu_op,"[[25088, 49, 7, 1], [25088, 49, 7, 1], []]","[[5, 512, 7, 7], [5, 512, 7, 7], []]",1077,0,aten::threshold_backward
6444517612691.961,,X,204,53,12.605,1221370,1,1221244,,cpu_op,,,1078,0,autograd::engine::evaluate_function: AddBackward0
6444517612696.525,"[""float""]",X,204,54,2.278,1221370,1,1221244,"[""""]",cpu_op,"[[25088, 49, 7, 1]]","[[5, 512, 7, 7]]",1079,0,AddBackward0
6444517612712.237,,X,203,55,11873.699,1221370,1,1221244,,cpu_op,,,1080,0,autograd::engine::evaluate_function: CudnnBatchNormBackward0
6444517612715.032,"[""float""]",X,203,56,11845.363,1221370,1,1221244,"[""""]",cpu_op,"[[25088, 49, 7, 1]]","[[5, 512, 7, 7]]",1081,0,CudnnBatchNormBackward0
6444517612738.361,"[""float"", ""float"", ""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""unsigned char""]",X,,57,11817.137,1221370,,1221244,"["""", """", """", """", """", """", """", ""1.0000000000000001e-05"", """"]",cpu_op,"[[25088, 49, 7, 1], [25088, 49, 7, 1], [1], [1], [1], [1], [1], [], [1]]","[[5, 512, 7, 7], [5, 512, 7, 7], [512], [512], [512], [512], [512], [], [0]]",1082,0,aten::cudnn_batch_norm_backward
6444517612770.856,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",X,,58,11.511,1221370,,1221244,"[""[5, 512, 7, 7]"", ""6"", ""0"", """", """", ""0""]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",1083,0,aten::empty
6444517612784.993,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",X,,59,6.264,1221370,,1221244,"[""[512]"", ""6"", ""0"", """", """", """"]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",1084,0,aten::empty
6444517612793.337,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",X,,60,5.69,1221370,,1221244,"[""[512]"", ""6"", ""0"", """", """", """"]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",1085,0,aten::empty
6444517616050.337,"[""float"", ""ScalarList""]",X,,61,4.232,1221370,,1221244,"["""", ""[1, 512, 1, 1]""]",cpu_op,"[[1], []]","[[512], []]",1086,0,aten::view
6444517616250.657,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",X,,62,11.781,1221370,,1221244,"[""[0]"", ""0"", ""0"", """", """", """"]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",1087,0,aten::empty
6444517624615.748,,X,,63,24.23,1221370,,1221244,,cpu_op,,,1088,0,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad
6444517624621.692,"[""float""]",X,,64,15.638,1221370,,1221244,"[""""]",cpu_op,[[1]],[[512]],1089,0,torch::autograd::AccumulateGrad
6444517624628.832,"[""float""]",X,,65,7.713,1221370,,1221244,"[""""]",cpu_op,[[1]],[[512]],1090,0,aten::detach
6444517624631.203,"[""float""]",X,,66,4.989,1221370,,1221244,"[""""]",cpu_op,[[1]],[[512]],1091,0,detach
6444517624648.176,,X,,67,10.496,1221370,,1221244,,cpu_op,,,1092,0,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad
6444517624651.429,"[""float""]",X,,68,5.089,1221370,,1221244,"[""""]",cpu_op,[[1]],[[512]],1093,0,torch::autograd::AccumulateGrad
6444517624652.972,"[""float""]",X,,69,3.091,1221370,,1221244,"[""""]",cpu_op,[[1]],[[512]],1094,0,aten::detach
6444517624654.333,"[""float""]",X,,70,1.362,1221370,,1221244,"[""""]",cpu_op,[[1]],[[512]],1095,0,detach
6444517624666.273,,X,202,71,23077.914,1221370,1,1221244,,cpu_op,,,1096,0,autograd::engine::evaluate_function: ConvolutionBackward0
6444517624669.261,"[""float""]",X,202,72,23051.635,1221370,1,1221244,"[""""]",cpu_op,"[[25088, 49, 7, 1]]","[[5, 512, 7, 7]]",1097,0,ConvolutionBackward0
