ts,correlation,ph,dur,tid,pid,cbid,cat,External id,name
6444517544915.215,4072,X,8538.394,1221244,1221244,211,cuda_runtime,515,cudaLaunchKernel
6444517553849.041,4085,X,5021.879,1221244,1221244,211,cuda_runtime,520,cudaLaunchKernel
6444517560258.927,4111,X,19246.888,1221370,1221244,211,cuda_runtime,1038,cudaLaunchKernel
6444517579549.382,4118,X,2.937,1221370,1221244,22,cuda_runtime,1034,cudaFree
6444517579563.143,4120,X,15.793,1221370,1221244,20,cuda_runtime,1034,cudaMalloc
6444517579590.901,4129,X,4.662,1221370,1221244,20,cuda_runtime,1034,cudaMalloc
6444517579603.987,4138,X,204.808,1221370,1221244,20,cuda_runtime,1034,cudaMalloc
6444517581467.782,4153,X,2.498,1221370,1221244,200,cuda_runtime,1034,cudaDeviceGetAttribute
6444517581497.449,4156,X,7120.846,1221370,1221244,211,cuda_runtime,1034,cudaLaunchKernel
6444517588739.733,4174,X,12.93,1221370,1221244,211,cuda_runtime,1046,cudaLaunchKernel
6444517588790.634,4187,X,4269.494,1221370,1221244,210,cuda_runtime,1042,cudaOccupancyMaxActiveBlocksPerMultiprocessor
6444517593090.972,4188,X,13.905,1221370,1221244,211,cuda_runtime,1042,cudaLaunchKernel
6444517593197.588,4201,X,11.843,1221370,1221244,211,cuda_runtime,1050,cudaLaunchKernel
6444517593508.617,4231,X,9021.513,1221370,1221244,211,cuda_runtime,1074,cudaLaunchKernel
6444517602675.092,4245,X,9959.147,1221370,1221244,211,cuda_runtime,1077,cudaLaunchKernel
6444517612821.501,4280,X,0.329,1221370,1221244,3,cuda_runtime,1082,cudaGetDeviceCount
6444517612824.257,4282,X,0.42,1221370,1221244,1,cuda_runtime,1082,cudaDriverGetVersion
6444517612825.299,4283,X,2.089,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517612827.613,4284,X,0.52,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517612828.283,4285,X,0.48,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517612828.905,4286,X,0.459,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517612829.52,4287,X,0.333,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517612830.023,4288,X,0.283,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517612830.452,4289,X,0.451,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517612831.043,4290,X,0.398,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517612831.599,4291,X,1228.491,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517614060.528,4292,X,508.868,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517614569.722,4293,X,0.442,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517614570.352,4294,X,0.339,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517614570.86,4295,X,0.3,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517614571.326,4296,X,0.467,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517614571.936,4297,X,0.716,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517614572.796,4298,X,0.286,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517614573.243,4299,X,0.462,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517614573.846,4300,X,0.278,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517614574.267,4301,X,0.277,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517614574.727,4302,X,0.273,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517614575.141,4303,X,0.502,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517614576.001,4304,X,1114.806,1221370,1221244,440,cuda_runtime,1082,cudaGetDeviceProperties_v2
6444517615691.129,4305,X,0.359,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517615691.654,4306,X,0.296,1221370,1221244,200,cuda_runtime,1082,cudaDeviceGetAttribute
6444517615693.235,4307,X,14.701,1221370,1221244,198,cuda_runtime,1082,cudaStreamCreateWithFlags
6444517615708.225,4308,X,2.801,1221370,1221244,198,cuda_runtime,1082,cudaStreamCreateWithFlags
6444517615711.246,4309,X,2.23,1221370,1221244,198,cuda_runtime,1082,cudaStreamCreateWithFlags
6444517615713.68,4310,X,2.726,1221370,1221244,198,cuda_runtime,1082,cudaStreamCreateWithFlags
6444517615716.616,4311,X,2.255,1221370,1221244,198,cuda_runtime,1082,cudaStreamCreateWithFlags
6444517615719.079,4312,X,2.895,1221370,1221244,198,cuda_runtime,1082,cudaStreamCreateWithFlags
6444517615722.184,4313,X,5.855,1221370,1221244,198,cuda_runtime,1082,cudaStreamCreateWithFlags
6444517615728.255,4314,X,175.685,1221370,1221244,198,cuda_runtime,1082,cudaStreamCreateWithFlags
6444517615904.531,4315,X,2.46,1221370,1221244,198,cuda_runtime,1082,cudaStreamCreateWithFlags
6444517615907.227,4316,X,2.144,1221370,1221244,198,cuda_runtime,1082,cudaStreamCreateWithFlags
6444517615909.588,4317,X,2.077,1221370,1221244,198,cuda_runtime,1082,cudaStreamCreateWithFlags
6444517615911.88,4318,X,2.174,1221370,1221244,198,cuda_runtime,1082,cudaStreamCreateWithFlags
6444517615914.264,4319,X,1.851,1221370,1221244,198,cuda_runtime,1082,cudaStreamCreateWithFlags
6444517615916.32,4320,X,2.036,1221370,1221244,198,cuda_runtime,1082,cudaStreamCreateWithFlags
6444517615918.573,4321,X,2.099,1221370,1221244,198,cuda_runtime,1082,cudaStreamCreateWithFlags
6444517615920.897,4322,X,27.375,1221370,1221244,198,cuda_runtime,1082,cudaStreamCreateWithFlags
6444517615948.9,4323,X,13.626,1221370,1221244,20,cuda_runtime,1082,cudaMalloc
6444517615963.674,4324,X,23.9,1221370,1221244,51,cuda_runtime,1082,cudaMemsetAsync
