ts,correlation,device,ph,bytes,dur,tid,pid,cat,memory bandwidth (GB/s),stream,External id,name,context
6444517615987.812,4324,0,X,16128,1.824,30,0,gpu_memset,4.430769230769231,30,1082,Memset (Device),1
6444517635032.89,4538,0,X,256,0.48,7,0,gpu_memset,0.267223382045929,7,1098,Memset (Device),1
6444517648187.477,4761,0,X,256,0.512,7,0,gpu_memset,0.25048923679060664,7,1126,Memset (Device),1
6444517651265.764,5211,0,X,64,0.479,7,0,gpu_memset,0.06687565308254964,7,1157,Memset (Device),1
6444517651661.445,5302,0,X,256,0.512,7,0,gpu_memset,0.25048923679060664,7,1182,Memset (Device),1
6444517660710.19,6705,0,X,131072,1.344,7,0,gpu_memset,48.87099179716629,7,1300,Memset (Device),1
6444517668171.727,7661,0,X,2359296,4.576,7,0,gpu_memset,258.41139101861995,7,1384,Memset (Device),1
6444517668806.13,7800,0,X,2359296,4.864,7,0,gpu_memset,243.10108191653788,7,1412,Memset (Device),1
6444517680848.457,8188,0,X,800,0.511,7,0,gpu_memset,0.7835455435847208,7,1443,Memset (Device),1
6444517682682.353,8305,0,X,2359296,4.192,7,0,gpu_memset,282.07747489239597,7,1468,Memset (Device),1
6444517685607.614,8708,0,X,590215,1.92,7,0,gpu_memset,154.0629078569564,7,1496,Memset (Device),1
6444517685616.478,8711,0,X,216,0.48,7,0,gpu_memset,0.2254697286012526,7,1496,Memset (Device),1
6444517689245.326,9100,0,X,885163,2.304,7,0,gpu_memset,192.55231672830107,7,1527,Memset (Device),1
6444517689249.966,9103,0,X,252,0.48,7,0,gpu_memset,0.2630480167014614,7,1527,Memset (Device),1
6444517689832.177,9229,0,X,885163,2.208,7,0,gpu_memset,200.8994552882433,7,1555,Memset (Device),1
6444517689835.441,9232,0,X,252,0.928,7,0,gpu_memset,0.13606911447084233,7,1555,Memset (Device),1
6444517690292.051,9371,0,X,885163,2.592,7,0,gpu_memset,171.17830206923225,7,1586,Memset (Device),1
6444517690295.731,9374,0,X,252,0.48,7,0,gpu_memset,0.2630480167014614,7,1586,Memset (Device),1
6444517690687.701,9500,0,X,885163,2.399,7,0,gpu_memset,184.87113617376775,7,1614,Memset (Device),1
6444517690691.221,9503,0,X,252,0.48,7,0,gpu_memset,0.2630480167014614,7,1614,Memset (Device),1
6444517692210.459,9723,0,X,37632,1.76,7,0,gpu_memset,10.715261958997722,7,1648,Memset (Device),1
