ts,ph,tid,pid,cat,bp,id,name
6444517259975.857,f,1221244,1221244,ac2g,e,6,ac2g
6444517259982.0,f,1221244,1221244,ac2g,e,7,ac2g
6444517260140.024,f,1221244,1221244,ac2g,e,12,ac2g
6444517260153.97,f,1221244,1221244,ac2g,e,13,ac2g
6444517260155.603,f,1221244,1221244,ac2g,e,14,ac2g
6444517260157.405,f,1221244,1221244,ac2g,e,15,ac2g
6444517260223.318,f,7,0,ac2g,e,19,ac2g
6444517260198.185,s,1221244,1221244,ac2g,,19,ac2g
6444517260226.931,f,1221244,1221244,ac2g,e,20,ac2g
6444517260234.854,s,1221244,1221244,ac2g,,21,ac2g
6444517260244.854,f,7,0,ac2g,e,22,ac2g
6444517260236.001,s,1221244,1221244,ac2g,,22,ac2g
6444517260244.735,f,1221244,1221244,ac2g,e,23,ac2g
6444517260418.614,f,7,0,ac2g,e,30,ac2g
6444517260405.072,s,1221244,1221244,ac2g,,30,ac2g
6444517260567.574,f,1221244,1221244,ac2g,e,40,ac2g
6444517260569.941,f,1221244,1221244,ac2g,e,41,ac2g
6444517260698.39,f,1221244,1221244,ac2g,e,48,ac2g
6444517260702.463,f,1221244,1221244,ac2g,e,49,ac2g
6444517260703.65,f,1221244,1221244,ac2g,e,50,ac2g
6444517260705.024,f,1221244,1221244,ac2g,e,51,ac2g
6444517260770.806,f,1221244,1221244,ac2g,e,75,ac2g
6444517260772.427,f,1221244,1221244,ac2g,e,76,ac2g
6444517260773.121,f,1221244,1221244,ac2g,e,77,ac2g
6444517260773.836,f,1221244,1221244,ac2g,e,78,ac2g
6444517260808.312,f,7,0,ac2g,e,86,ac2g
6444517260792.249,s,1221244,1221244,ac2g,,86,ac2g
6444517260928.12,f,7,0,ac2g,e,93,ac2g
6444517260916.378,s,1221244,1221244,ac2g,,93,ac2g
6444517261049.742,f,1221244,1221244,ac2g,e,108,ac2g
6444517261051.687,f,1221244,1221244,ac2g,e,109,ac2g
6444517261188.376,f,7,0,ac2g,e,114,ac2g
6444517261173.759,s,1221244,1221244,ac2g,,114,ac2g
6444517261318.621,f,1221244,1221244,ac2g,e,125,ac2g
6444517261323.135,f,1221244,1221244,ac2g,e,126,ac2g
6444517261324.544,f,1221244,1221244,ac2g,e,127,ac2g
6444517261325.601,f,1221244,1221244,ac2g,e,128,ac2g
6444517261365.369,f,7,0,ac2g,e,132,ac2g
6444517261352.044,s,1221244,1221244,ac2g,,132,ac2g
6444517261379.193,f,7,0,ac2g,e,134,ac2g
6444517261368.314,s,1221244,1221244,ac2g,,134,ac2g
6444517261381.726,f,1221244,1221244,ac2g,e,136,ac2g
6444517261393.993,f,1221244,1221244,ac2g,e,137,ac2g
6444517261397.015,f,1221244,1221244,ac2g,e,138,ac2g
6444517261405.816,f,7,0,ac2g,e,139,ac2g
6444517261398.089,s,1221244,1221244,ac2g,,139,ac2g
6444517261407.105,f,1221244,1221244,ac2g,e,141,ac2g
6444517261493.401,f,7,0,ac2g,e,148,ac2g
6444517261482.489,s,1221244,1221244,ac2g,,148,ac2g
6444517261606.24,f,1221244,1221244,ac2g,e,162,ac2g
6444517261609.676,f,1221244,1221244,ac2g,e,163,ac2g
6444517261611.011,f,1221244,1221244,ac2g,e,164,ac2g
6444517261612.079,f,1221244,1221244,ac2g,e,165,ac2g
6444517261653.42,f,1221244,1221244,ac2g,e,189,ac2g
6444517261654.892,f,1221244,1221244,ac2g,e,190,ac2g
6444517261655.584,f,1221244,1221244,ac2g,e,191,ac2g
6444517261656.203,f,1221244,1221244,ac2g,e,192,ac2g
6444517261683.705,f,7,0,ac2g,e,200,ac2g
6444517261669.404,s,1221244,1221244,ac2g,,200,ac2g
6444517261745.401,f,7,0,ac2g,e,207,ac2g
6444517261736.422,s,1221244,1221244,ac2g,,207,ac2g
6444517261829.455,f,1221244,1221244,ac2g,e,220,ac2g
6444517261832.185,f,1221244,1221244,ac2g,e,221,ac2g
6444517261833.231,f,1221244,1221244,ac2g,e,222,ac2g
6444517261834.111,f,1221244,1221244,ac2g,e,223,ac2g
