ts,Input type,ph,Sequence number,Ev Idx,dur,tid,Fwd thread id,pid,Concrete Inputs,cat,Input Strides,Input Dims,External id,Record function id,name
6444517257762.125,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar""]",X,70,1,2507.183,1221244,0,1221244,"["""", """", """", ""[2, 2]"", ""[3, 3]"", ""[1, 1]"", ""1""]",cpu_op,"[[150528, 50176, 224, 1], [147, 49, 7, 1], [], [], [], [], []]","[[5, 3, 224, 224], [64, 3, 7, 7], [], [], [], [], []]",2,0,aten::conv2d
6444517257772.894,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar""]",X,70,2,2495.314,1221244,0,1221244,"["""", """", """", ""[2, 2]"", ""[3, 3]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1""]",cpu_op,"[[150528, 50176, 224, 1], [147, 49, 7, 1], [], [], [], [], [], [], []]","[[5, 3, 224, 224], [64, 3, 7, 7], [], [], [], [], [], [], []]",3,0,aten::convolution
6444517257796.149,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,,3,2465.224,1221244,,1221244,"["""", """", """", ""[2, 2]"", ""[3, 3]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1"", ""False"", ""False"", ""True"", ""True""]",cpu_op,"[[150528, 50176, 224, 1], [147, 49, 7, 1], [], [], [], [], [], [], [], [], [], [], []]","[[5, 3, 224, 224], [64, 3, 7, 7], [], [], [], [], [], [], [], [], [], [], []]",4,0,aten::_convolution
6444517257814.971,"[""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,,4,2440.248,1221244,,1221244,"["""", """", ""[3, 3]"", ""[2, 2]"", ""[1, 1]"", ""1"", ""False"", ""False"", ""True""]",cpu_op,"[[150528, 50176, 224, 1], [147, 49, 7, 1], [], [], [], [], [], [], []]","[[5, 3, 224, 224], [64, 3, 7, 7], [], [], [], [], [], [], []]",5,0,aten::cudnn_convolution
6444517260374.368,"[""long int"", ""long int"", ""Scalar""]",X,71,5,48.929,1221244,0,1221244,"["""", """", ""1""]",cpu_op,"[[], [], []]","[[], [], []]",6,0,aten::add_
6444517260491.671,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,71,6,329.422,1221244,0,1221244,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]",cpu_op,"[[802816, 12544, 112, 1], [1], [1], [1], [1], [], [], [], []]","[[5, 64, 112, 112], [64], [64], [64], [64], [], [], [], []]",7,0,aten::batch_norm
6444517260496.38,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,71,7,323.95,1221244,0,1221244,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]",cpu_op,"[[802816, 12544, 112, 1], [1], [1], [1], [1], [], [], [], []]","[[5, 64, 112, 112], [64], [64], [64], [64], [], [], [], []]",8,0,aten::_batch_norm_impl_index
6444517260513.118,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar""]",X,71,8,305.902,1221244,0,1221244,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05""]",cpu_op,"[[802816, 12544, 112, 1], [1], [1], [1], [1], [], [], []]","[[5, 64, 112, 112], [64], [64], [64], [64], [], [], []]",9,0,aten::cudnn_batch_norm
6444517260543.565,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",X,,9,150.183,1221244,,1221244,"["""", ""6"", ""0"", """", """", ""0""]",cpu_op,"[[802816, 12544, 112, 1], [], [], [], [], []]","[[5, 64, 112, 112], [], [], [], [], []]",10,0,aten::empty_like
6444517260557.598,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",X,,10,133.659,1221244,,1221244,"[""[5, 64, 112, 112]"", ""6"", ""0"", """", """", ""0""]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",11,0,aten::empty
