ts,correlation,ph,dur,tid,pid,cbid,cat,External id,name
6444517259975.857,6,X,5.35,1221244,1221244,317,cuda_runtime,5,cudaStreamIsCapturing
6444517259982.0,7,X,127.858,1221244,1221244,20,cuda_runtime,5,cudaMalloc
6444517260140.024,12,X,13.26,1221244,1221244,135,cuda_runtime,5,cudaEventRecord
6444517260153.97,13,X,1.171,1221244,1221244,317,cuda_runtime,5,cudaStreamIsCapturing
6444517260155.603,14,X,1.236,1221244,1221244,203,cuda_runtime,5,cudaStreamGetPriority
6444517260157.405,15,X,1.096,1221244,1221244,205,cuda_runtime,5,cudaDeviceGetStreamPriorityRange
6444517260198.185,19,X,27.902,1221244,1221244,211,cuda_runtime,5,cudaLaunchKernel
6444517260226.931,20,X,0.959,1221244,1221244,11,cuda_runtime,5,cudaPeekAtLastError
6444517260234.854,21,X,0.451,1221244,1221244,51,cuda_runtime,5,cudaMemsetAsync
6444517260236.001,22,X,8.176,1221244,1221244,211,cuda_runtime,5,cudaLaunchKernel
6444517260244.735,23,X,0.132,1221244,1221244,11,cuda_runtime,5,cudaPeekAtLastError
6444517260405.072,30,X,13.408,1221244,1221244,211,cuda_runtime,6,cudaLaunchKernel
6444517260567.574,40,X,1.763,1221244,1221244,317,cuda_runtime,11,cudaStreamIsCapturing
6444517260569.941,41,X,111.091,1221244,1221244,20,cuda_runtime,11,cudaMalloc
6444517260698.39,48,X,3.655,1221244,1221244,135,cuda_runtime,9,cudaEventRecord
6444517260702.463,49,X,0.846,1221244,1221244,317,cuda_runtime,9,cudaStreamIsCapturing
6444517260703.65,50,X,0.875,1221244,1221244,203,cuda_runtime,9,cudaStreamGetPriority
6444517260705.024,51,X,0.732,1221244,1221244,205,cuda_runtime,9,cudaDeviceGetStreamPriorityRange
6444517260770.806,75,X,1.415,1221244,1221244,135,cuda_runtime,9,cudaEventRecord
6444517260772.427,76,X,0.478,1221244,1221244,317,cuda_runtime,9,cudaStreamIsCapturing
