ts,block,tid,queued,dur,name,context,device,registers per thread,shared memory,stream,correlation,ph,blocks per SM,pid,cat,warps per SM,grid,est. achieved occupancy %,External id
6444517260223.318,"[256, 1, 1]",7,0,1.824,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",1,0,16,0,7,19,X,0.595238,0,kernel,4.761905,"[50, 1, 1]",10,5
6444517260244.854,"[128, 1, 1]",7,0,82.016,_5x_cudnn_ampere_scudnn_128x64_relu_medium_nn_v1,1,0,128,16384,7,22,X,5.833333,0,kernel,23.333334,"[490, 1, 1]",33,5
6444517260418.614,"[128, 1, 1]",7,0,1.952,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2>)",1,0,24,0,7,30,X,0.011905,0,kernel,0.047619,"[1, 1, 1]",0,6
6444517260808.312,"[512, 1, 1]",7,0,87.904,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, 512, true, 1, true>(cudnnTensorStruct, float const*, cudnnTensorStruct, float*, float const*, float const*, float, float, float*, float*, float*, float*, float, float)",1,0,40,144,7,86,X,0.761905,0,kernel,12.190476,"[64, 1, 1]",25,9
6444517260928.12,"[128, 1, 1]",7,0,58.112,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>)",1,0,18,0,7,93,X,93.333336,0,kernel,373.333344,"[7840, 1, 1]",100,18
6444517261188.376,"[256, 1, 1]",7,0,54.304,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float>(int, float const*, long, long, long, int, int, int, int, int, int, int, int, int, int, float*, long*)",1,0,26,0,7,114,X,46.666668,0,kernel,373.333344,"[3920, 1, 1]",100,20
6444517261365.369,"[256, 1, 1]",7,0,13.056,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",1,0,38,4224,7,132,X,11.666667,0,kernel,93.333336,"[98, 2, 5]",100,24
6444517261379.193,"[256, 1, 1]",7,0,3.2,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",1,0,38,4224,7,134,X,1.52381,0,kernel,12.190476,"[1, 2, 64]",25,24
6444517261405.816,"[128, 1, 1]",7,0,40.801,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn,1,0,228,98304,7,139,X,1.464286,0,kernel,5.857143,"[1, 123, 1]",0,24
6444517261493.401,"[128, 1, 1]",7,0,1.824,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2>)",1,0,24,0,7,148,X,0.011905,0,kernel,0.047619,"[1, 1, 1]",0,25
6444517261683.705,"[512, 1, 1]",7,0,15.392,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, 128, true, 1, true>(cudnnTensorStruct, float const*, cudnnTensorStruct, float*, float const*, float const*, float, float, float*, float*, float*, float*, float, float)",1,0,40,144,7,200,X,0.761905,0,kernel,12.190476,"[64, 1, 1]",25,28
6444517261745.401,"[128, 1, 1]",7,0,4.096,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>)",1,0,18,0,7,207,X,23.333334,0,kernel,93.333336,"[1960, 1, 1]",100,37
6444517261984.09,"[256, 1, 1]",7,0,8.928,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",1,0,38,4224,7,231,X,11.666667,0,kernel,93.333336,"[98, 2, 5]",100,41
6444517261995.29,"[256, 1, 1]",7,0,3.168,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",1,0,38,4224,7,233,X,1.52381,0,kernel,12.190476,"[1, 2, 64]",25,41
6444517262014.714,"[128, 1, 1]",7,0,40.032,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel__5x_cudnn,1,0,228,98304,7,238,X,1.464286,0,kernel,5.857143,"[1, 123, 1]",0,41
6444517262108.827,"[128, 1, 1]",7,0,1.823,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<long>, at::detail::Array<char*, 2>)",1,0,24,0,7,247,X,0.011905,0,kernel,0.047619,"[1, 1, 1]",0,42
6444517262262.811,"[512, 1, 1]",7,0,15.872,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, 128, true, 1, true>(cudnnTensorStruct, float const*, cudnnTensorStruct, float*, float const*, float const*, float, float, float*, float*, float*, float*, float, float)",1,0,40,144,7,299,X,0.761905,0,kernel,12.190476,"[64, 1, 1]",25,45
6444517262300.699,"[128, 1, 1]",7,0,15.04,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3> >(int, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3>)",1,0,22,0,7,305,X,23.333334,0,kernel,93.333336,"[1960, 1, 1]",100,53
6444517262348.795,"[128, 1, 1]",7,0,4.16,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>)",1,0,18,0,7,312,X,23.333334,0,kernel,93.333336,"[1960, 1, 1]",100,55
6444517262466.204,"[256, 1, 1]",7,0,8.415,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",1,0,38,4224,7,332,X,11.666667,0,kernel,93.333336,"[98, 2, 5]",100,59
6444517262476.636,"[256, 1, 1]",7,0,3.232,"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)2>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",1,0,38,4224,7,334,X,1.52381,0,kernel,12.190476,"[1, 2, 64]",25,59
