ts,Python parent id,ph,Ev Idx,dur,tid,Python module id,pid,Python id,cat,name
6444517257115.314,,X,354,14320.181,0,,0,1,python_function,threading.py(973): _bootstrap
6444517257116.365,1,X,355,14319.13,0,,0,2,python_function,threading.py(1016): _bootstrap_inner
6444517257123.972,2,X,356,14311.523,0,,0,3,python_function,decorator.py(232): fun
6444517257127.972,3,X,357,14307.523,0,,0,4,python_function,IPython/core/history.py(61): only_when_enabled
6444517257133.73,4,X,358,14301.765,0,,0,5,python_function,IPython/core/history.py(903): run
6444517257134.408,5,X,359,14301.087,0,,0,6,python_function,threading.py(607): wait
6444517257135.16,6,X,360,14300.335,0,,0,7,python_function,threading.py(320): wait
6444517257145.088,7,X,361,14290.407,0,,0,8,python_function,threading.py(973): _bootstrap
6444517257145.449,8,X,362,14290.046,0,,0,9,python_function,threading.py(1016): _bootstrap_inner
6444517257151.385,9,X,363,14284.11,0,,0,10,python_function,ipykernel/control.py(23): run
6444517257155.998,10,X,364,14279.497,0,,0,11,python_function,tornado/platform/asyncio.py(205): start
6444517257161.262,11,X,365,14274.233,0,,0,12,python_function,asyncio/base_events.py(603): run_forever
6444517257163.275,12,X,366,14272.22,0,,0,13,python_function,asyncio/base_events.py(1871): _run_once
6444517257165.88,13,X,367,14269.615,0,,0,14,python_function,selectors.py(469): select
6444517257169.516,14,X,368,14265.979,0,,0,15,python_function,threading.py(973): _bootstrap
6444517257169.86,15,X,369,14265.635,0,,0,16,python_function,threading.py(1016): _bootstrap_inner
6444517257170.641,16,X,370,14264.854,0,,0,17,python_function,threading.py(953): run
6444517257172.623,17,X,371,14262.872,0,,0,18,python_function,ipykernel/iostream.py(387): _watch_pipe_fd
6444517257175.661,18,X,372,14259.834,0,,0,19,python_function,threading.py(973): _bootstrap
6444517257175.962,19,X,373,14259.533,0,,0,20,python_function,threading.py(1016): _bootstrap_inner
6444517257176.559,20,X,374,14258.936,0,,0,21,python_function,threading.py(953): run
6444517257176.829,21,X,375,14258.666,0,,0,22,python_function,ipykernel/iostream.py(387): _watch_pipe_fd
6444517257181.104,22,X,376,14254.391,0,,0,23,python_function,threading.py(973): _bootstrap
6444517257181.372,23,X,377,14254.123,0,,0,24,python_function,threading.py(1016): _bootstrap_inner
6444517257182.534,24,X,378,14252.961,0,,0,25,python_function,ipykernel/heartbeat.py(106): run
6444517257185.696,25,X,379,14249.799,0,,0,26,python_function,threading.py(973): _bootstrap
6444517257185.966,26,X,380,14249.529,0,,0,27,python_function,threading.py(1016): _bootstrap_inner
6444517257188.132,27,X,381,14247.363,0,,0,28,python_function,threading.py(953): run
6444517257188.708,28,X,382,14246.787,0,,0,29,python_function,ipykernel/iostream.py(92): _thread_main
6444517257189.537,29,X,383,14245.958,0,,0,30,python_function,tornado/platform/asyncio.py(205): start
6444517257190.03,30,X,384,14245.465,0,,0,31,python_function,asyncio/base_events.py(603): run_forever
6444517257190.455,31,X,385,14245.04,0,,0,32,python_function,asyncio/base_events.py(1871): _run_once
6444517257190.924,32,X,386,14244.571,0,,0,33,python_function,selectors.py(469): select
6444517257204.693,,X,387,14230.802,1221244,,1221244,34,python_function,runpy.py(196): _run_module_as_main
6444517257207.624,34,X,388,14227.871,1221244,,1221244,35,python_function,runpy.py(86): _run_code
6444517257209.946,35,X,389,14225.549,1221244,,1221244,36,python_function,ipykernel_launcher.py(18): <module>
6444517257216.22,36,X,390,14219.275,1221244,,1221244,37,python_function,traitlets/config/application.py(1075): launch_instance
6444517257218.659,37,X,391,14216.836,1221244,,1221244,38,python_function,ipykernel/kernelapp.py(739): start
6444517257219.01,38,X,392,14216.485,1221244,,1221244,39,python_function,tornado/platform/asyncio.py(205): start
6444517257219.397,39,X,393,14216.098,1221244,,1221244,40,python_function,asyncio/base_events.py(603): run_forever
6444517257220.159,40,X,394,14215.336,1221244,,1221244,41,python_function,asyncio/base_events.py(1909): _run_once
6444517257222.378,41,X,395,14213.117,1221244,,1221244,42,python_function,asyncio/events.py(80): _run
6444517257226.439,42,X,396,14209.056,1221244,,1221244,43,python_function,ipykernel/kernelbase.py(545): dispatch_queue
6444517257226.908,43,X,397,14208.587,1221244,,1221244,44,python_function,ipykernel/kernelbase.py(534): process_one
6444517257227.772,44,X,398,14207.723,1221244,,1221244,45,python_function,ipykernel/kernelbase.py(437): dispatch_shell
6444517257228.714,45,X,399,14206.781,1221244,,1221244,46,python_function,ipykernel/ipkernel.py(362): execute_request
6444517257230.517,46,X,400,14204.978,1221244,,1221244,47,python_function,ipykernel/kernelbase.py(778): execute_request
6444517257233.557,47,X,401,14201.938,1221244,,1221244,48,python_function,ipykernel/ipkernel.py(449): do_execute
6444517257239.217,48,X,402,14196.278,1221244,,1221244,49,python_function,ipykernel/zmqshell.py(549): run_cell
6444517257243.956,49,X,403,14191.539,1221244,,1221244,50,python_function,IPython/core/interactiveshell.py(3075): run_cell
6444517257244.979,50,X,404,14190.516,1221244,,1221244,51,python_function,IPython/core/interactiveshell.py(3130): _run_cell
6444517257255.732,51,X,405,14179.763,1221244,,1221244,52,python_function,IPython/core/async_helpers.py(128): _pseudo_sync_runner
6444517257258.372,52,X,406,14177.123,1221244,,1221244,53,python_function,IPython/core/interactiveshell.py(3334): run_cell_async
6444517257260.815,53,X,407,14174.68,1221244,,1221244,54,python_function,IPython/core/interactiveshell.py(3517): run_ast_nodes
6444517257262.603,54,X,408,14172.892,1221244,,1221244,55,python_function,IPython/core/interactiveshell.py(3577): run_code
6444517257263.26,55,X,409,14172.235,1221244,,1221244,56,python_function,/tmp/ipykernel_1221244/1986473407.py(23): <module>
6444517257263.977,56,X,410,14171.518,1221244,,1221244,57,python_function,pytorch_tracing.py(28): py_tracing_forward
6444517257264.648,57,X,411,362.224,1221244,,1221244,58,python_function,torch/profiler/profiler.py(776): step
6444517257265.042,58,X,412,155.511,1221244,,1221244,59,python_function,torch/profiler/profiler.py(793): _transit_action
6444517257265.398,59,X,413,154.513,1221244,,1221244,60,python_function,torch/profiler/profiler.py(174): start_trace
6444517257265.704,60,X,414,44.023,1221244,,1221244,61,python_function,torch/autograd/profiler.py(339): _start_trace
6444517257295.592,61,X,415,0.987,1221244,,1221244,62,python_function,<built-in function perf_counter_ns>
6444517257319.873,60,X,416,11.625,1221244,,1221244,63,python_function,torch/profiler/profiler.py(304): add_metadata_json
6444517257326.818,63,X,417,4.412,1221244,,1221244,64,python_function,<built-in method _add_metadata_json of PyCapsule object at 0x7f1f91f79980>
6444517257332.51,60,X,418,1.23,1221244,,1221244,65,python_function,torch/profiler/profiler.py(304): add_metadata_json
6444517257332.954,65,X,419,0.715,1221244,,1221244,66,python_function,<built-in method _add_metadata_json of PyCapsule object at 0x7f1f91f79980>
6444517257337.306,60,X,420,0.831,1221244,,1221244,67,python_function,<built-in method kineto_available of PyCapsule object at 0x7f1f91f799e0>
6444517257339.499,60,X,421,52.104,1221244,,1221244,68,python_function,torch/profiler/profiler.py(319): _get_distributed_info
6444517257352.822,68,X,422,5.133,1221244,,1221244,69,python_function,torch/distributed/__init__.py(14): is_available
6444517257355.275,69,X,423,2.555,1221244,,1221244,70,python_function,<built-in function hasattr>
6444517257369.058,68,X,424,22.267,1221244,,1221244,71,python_function,torch/distributed/distributed_c10d.py(1121): is_initialized
6444517257382.487,71,X,425,8.572,1221244,,1221244,72,python_function,torch/distributed/distributed_c10d.py(705): WORLD
6444517257389.065,72,X,426,1.849,1221244,,1221244,73,python_function,torch/distributed/distributed_c10d.py(576): default_pg
6444517257393.499,60,X,427,0.468,1221244,,1221244,74,python_function,<built-in function hasattr>
6444517257407.05,60,X,428,6.996,1221244,,1221244,75,python_function,torch/utils/_config_module.py(379): __getattr__
6444517257411.656,75,X,429,2.018,1221244,,1221244,76,python_function,torch/utils/_config_module.py(148): __getattr__
6444517257418.176,60,X,430,0.373,1221244,,1221244,77,python_function,<built-in method items of dict object at 0x7f1f82ca4ec0>
6444517257436.855,58,X,431,19.26,1221244,,1221244,78,python_function,torch/autograd/profiler.py(1141): increment_step
6444517257442.834,78,X,432,0.266,1221244,,1221244,79,python_function,<built-in method values of collections.defaultdict object at 0x7f1f91f99e40>
6444517257444.806,78,X,433,1.056,1221244,,1221244,80,python_function,<built-in function max>
6444517257451.735,78,X,434,2.943,1221244,,1221244,81,python_function,<built-in method _kineto_step of PyCapsule object at 0x7f1f91f799b0>
6444517257460.437,58,X,435,9.57,1221244,,1221244,82,python_function,torch/autograd/profiler.py(721): __init__
6444517257465.02,82,X,436,3.103,1221244,,1221244,83,python_function,typing.py(306): inner
6444517257469.278,82,X,437,0.29,1221244,,1221244,84,python_function,torch/jit/__init__.py(128): annotate
6444517257477.017,58,X,438,149.409,1221244,,1221244,85,python_function,torch/autograd/profiler.py(732): __enter__
6444517257481.97,85,X,439,143.644,1221244,,1221244,86,python_function,torch/_ops.py(1105): __call__
6444517257486.949,86,X,440,138.368,1221244,,1221244,87,python_function,<built-in method _record_function_enter_new of PyCapsule object at 0x7f1f918ab540>
6444517257640.377,57,X,441,13226.059,1221244,0,1221244,88,python_function,nn.Module: ResNet_0
6444517257642.872,88,X,442,13222.908,1221244,,1221244,89,python_function,torch/nn/modules/module.py(1740): _call_impl
6444517257646.001,89,X,443,2.005,1221244,,1221244,90,python_function,<built-in method _get_tracing_state of PyCapsule object at 0x7f21001fc450>
6444517257651.702,89,X,444,13213.723,1221244,,1221244,91,python_function,torchvision/models/resnet.py(284): forward
6444517257653.061,91,X,445,13211.841,1221244,,1221244,92,python_function,torchvision/models/resnet.py(266): _forward_impl
6444517257656.016,92,X,446,2.48,1221244,,1221244,93,python_function,torch/nn/modules/module.py(1918): __getattr__
6444517257673.309,92,X,447,2606.921,1221244,0,1221244,94,python_function,nn.Module: Conv2d_0
6444517257675.419,94,X,448,2603.565,1221244,,1221244,95,python_function,torch/nn/modules/module.py(1740): _call_impl
6444517257675.88,95,X,449,0.484,1221244,,1221244,96,python_function,<built-in method _get_tracing_state of PyCapsule object at 0x7f21001fc450>
6444517257678.533,95,X,450,2599.353,1221244,,1221244,97,python_function,torch/nn/modules/conv.py(553): forward
6444517257680.381,97,X,451,0.683,1221244,,1221244,98,python_function,torch/nn/modules/module.py(1918): __getattr__
6444517257682.155,97,X,452,0.501,1221244,,1221244,99,python_function,torch/nn/modules/module.py(1918): __getattr__
6444517257683.325,97,X,453,2593.458,1221244,,1221244,100,python_function,torch/nn/modules/conv.py(536): _conv_forward
6444517257688.077,100,X,454,2587.819,1221244,,1221244,101,python_function,<built-in method conv2d of type object at 0x7f20ebe5f1c0>
6444517260288.41,92,X,455,3.542,1221244,,1221244,102,python_function,torch/nn/modules/module.py(1918): __getattr__
6444517260311.449,92,X,456,516.829,1221244,0,1221244,103,python_function,nn.Module: BatchNorm2d_0
6444517260313.56,103,X,457,513.597,1221244,,1221244,104,python_function,torch/nn/modules/module.py(1740): _call_impl
6444517260315.072,104,X,458,2.645,1221244,,1221244,105,python_function,<built-in method _get_tracing_state of PyCapsule object at 0x7f21001fc450>
6444517260321.621,104,X,459,504.567,1221244,,1221244,106,python_function,torch/nn/modules/batchnorm.py(159): forward
6444517260323.291,106,X,460,7.452,1221244,,1221244,107,python_function,torch/nn/modules/batchnorm.py(450): _check_input_dim
6444517260329.268,107,X,461,0.934,1221244,,1221244,108,python_function,<built-in method dim of Tensor object at 0x7f202fe90bd0>
6444517260333.692,106,X,462,1.68,1221244,,1221244,109,python_function,torch/nn/modules/module.py(1918): __getattr__
6444517260336.671,106,X,463,0.655,1221244,,1221244,110,python_function,torch/nn/modules/module.py(1918): __getattr__
6444517260339.479,106,X,464,88.226,1221244,,1221244,111,python_function,<built-in method add_ of Tensor object at 0x7f202fe81990>
6444517260432.817,106,X,465,1.18,1221244,,1221244,112,python_function,torch/nn/modules/module.py(1918): __getattr__
6444517260436.092,106,X,466,0.815,1221244,,1221244,113,python_function,torch/nn/modules/module.py(1918): __getattr__
6444517260438.021,106,X,467,0.472,1221244,,1221244,114,python_function,torch/nn/modules/module.py(1918): __getattr__
6444517260440.067,106,X,468,0.466,1221244,,1221244,115,python_function,torch/nn/modules/module.py(1918): __getattr__
6444517260441.994,106,X,469,383.448,1221244,,1221244,116,python_function,torch/nn/functional.py(2781): batch_norm
6444517260444.792,116,X,470,0.561,1221244,,1221244,117,python_function,<built-in function _has_torch_function_variadic>
6444517260447.998,116,X,471,2.597,1221244,,1221244,118,python_function,<built-in method size of Tensor object at 0x7f202fe90bd0>
6444517260451.511,116,X,472,14.849,1221244,,1221244,119,python_function,torch/nn/functional.py(2762): _verify_batch_size
6444517260462.434,119,X,473,0.426,1221244,,1221244,120,python_function,<built-in function len>
6444517260471.4,116,X,474,6.189,1221244,,1221244,121,python_function,torch/backends/__init__.py(38): __get__
6444517260476.726,121,X,475,0.676,1221244,,1221244,122,python_function,<built-in function _get_cudnn_enabled>
